加了时长，先给导演加鸡腿。还有请宿舍不日常一定要周更日常哦！
我最近消化不太好，昨天上课放了一个屁，有点臭，后桌抡椅子打我，眼镜都打坏了，我没有还手，我本以为我做的没错，结果班主任居然要求我向人家道歉并向全班承诺以后凡是上课想放屁就从教室里出去，我觉得这简直就是无理取闹，结果我妈妈居然拉着我去跟人家道歉和承诺，她本身还是这个学校的老师！我做错什么了？以后我还能相信什么？
"说实话，我觉得吧，扩哥本身条件那么好，能答应大圆才怪，并不仅仅是因为护哥长得帅，能力也是一等一的。
要选的话也是像素洁一样的美女啊，为什么要委屈自己选大圆？"
已经……很久……没……更新了。
丧心病狂，我一天看完了三季。。。。
"哈哈哈哈哈素洁×大圆！
百合吧！"
下一集是不就是追女仔
我一直以为扩哥喜欢小斌斌。。。不会真的站错cp了。。。吧
现在居然还有人问师兄是不是女的，问是不是百合，没看过一二季咋的。。国漫有百合很奇怪吗？
更喜欢素洁。素洁不算biao子【我认为】，会和别人争自己喜欢的人，我觉得每个人都会这样做吧。在自己喜欢的人的面前谁又何尝不会有点小心机？
我感觉好像只有我喜欢小斌斌
几个大老爷们为什么会做出这么懂女孩心思的动漫？？(ﾟДﾟ≡ﾟдﾟ)!?
想看大圆变美的样子~    作者加油(´▽`ʃƪ)
觉得大圆不会变扩哥也会爱上她
啊啊啊好喜欢女常的感情线啊w 希望寝室的大家都有cp！（难道小斌斌是真实单身汪吗 汪
周更是认真的吗(｀・ω・´)
一个胖子，如果坚持练瑜伽，那么他就会成为一个柔软的胖子，如果坚持锻炼，那么他就会成为一个健壮的胖子，如果坚持绝食，那么他就会成为一个虚弱的胖子。
姥姥看得到我吗？您最爱的番还没跟新呢，让您失望了
哇，才发现居然有这个！惊喜！
不更了吗？QAQ
挺有创意啊，这番彩蛋挺多，还需细细发现，比如在动画中的公告栏插入自己的广告(滑雪那集)，哼着海绵宝宝的旋律，乌鸦坐飞机，火车站写着鱼肚白三个字等等
这有毒吧 不是有人跟我讲我都不知道又更新了[2233娘_大哭]
要不是偶尔瞟到封面就差点错过这一季……
导演让扩斌在一起！！！
师兄这是注孤生啊
"感觉素洁和大圆在一起也不错啊ㄟ( ▔, ▔ )ㄏ"
"我觉得吧，现在好多人都喜欢的是脸蛋，一个胖胖的女孩喜欢一个比较帅的男孩子，这个女孩子为了男孩子拼命减肥，最后也因为瘦下来好看了才在一起的话，感觉只是喜欢她的脸啊（虽说相处一段时间性格好，可能就有感情了吧
也不排除是渣男。
我觉得吧人应该要为了自己活，自己想变漂亮就自己努力，女为悦己者容是吧
为了别人活着自己却不喜欢这种方式，有点不好。
（吐槽一下自己:自己不努力你喜欢的人也不会喜欢上你的吧？

（反正我也不懂，感觉都有道理的样子，当我瞎BB好了。。"
这是要跟罗小黑比谁拖更久吗？( ´_ゝ｀)
我总觉得我站小斌斌和扩哥这对没啥希望了( ´_ゝ｀)
我刚才看到师兄递耳机给毛毛的那一刻时，我想到了一个哄女朋友高兴的办法，咱们先录一段录音，然后说一大堆的话说对不起、我错了、原谅我之类的话然后就嘿嘿嘿，原谅我了(｡･ω･｡)
我一个男生居然从第一季追到第三季了，说真的剧情人物莫名的喜感，现实生活中不乏有这类人，给周围人带来快乐。鱼肚白加油支持你。。。[小电视_赞]
看到大圆表白那幕，突然预料到了自己表白的那一天，一样的伤人心
咳咳，虽然好像跑题了，但是谁知道该怎么有效减肥啊摔，连去跑步都被别人嘲笑说腿会粗。怎么说呢，羡慕大圆有喜欢的人，希望她能争口气，以此为动力加油。要知道，变瘦了不是完全为了谈恋爱，有很多事都会跟着变得美好的，为了自己去努力才是最重要的。
既想大圆变瘦变美和扩哥在一起，又不想她为了扩哥而去妥协。哎，好矛盾。
曾经我也像师兄那样回答女友，然后我现在单身[小电视_笑]
"我我我哦我居然看到了狮兄的胸
Σ(|||▽||| )
另外，周更简直不要太美好。
美好的女常请继续美好下去✧*｡٩(ˊωˋ*)و✧*｡"
啥时候更新啊  停更给个信儿倒是[小电视_发愁]
好漫画支持，不知道为什么怎么好的漫画为什么不火，不过只是迟早的事情，一般我关注过的都会火起来了，加油(ง •̀_•́)ง
很喜欢这部动画，内容是有些荤。以后动画可以分级就好了，这样小孩子看小孩子的，成人看成人的。支持《宿舍不日常》~
原来有这么多人跟我一样才发现有第三季…
ヽ(ﾟ∀ﾟ)ﾉ开心，很喜欢这部作品，希望能一直继续下去，我也会一直支持！
太好了，我还以为宿舍凉了[小电视_太太喜欢]
我站素圆=￣ω￣=
扩哥喜欢小斌斌的话，这个设定真的是合情合理啊
这是我第一次写评论。宿舍从第一季追到第二季，有很多笑点，我很喜欢，而且还是原创国漫。希望宿舍能一直更下去，不要结束。各位主创大大加油！
字幕可以大一点儿吗？弱视伤不起啊
本来想重温第一季第二季的我……发现了第三季！！！！惊了！！！开心嘻嘻（￣▽￣）
我站小斌斌×扩哥
虽然要尊重大圆的选择，但是我真的觉得扩哥不值得大圆这么追→_→
既然你选择了喜欢这个人就要吃下所有为他所受的苦。即使最后伤痕累累也是你自己选择的。如果一直一边依旧过着邋遢的生活一边期待喜欢的人跟自己表白是很不现实的。希望受伤的妹子们找到自己的幸福吧。
说实话，看到大圆，我就觉得看到了自己，我也爱吃，我也胖，还没颜值，稍微不同的是，我喜欢的，是老师，一个比我大十二岁的人，我也在努力减肥，希望从140斤瘦下来，然后和他表白，虽说不可思议但是，我也要努力
其实鱼肚白。。。我们这一个餐饮也叫鱼肚白
卧槽我以为不更新了，结果你给我出来个第三季？还更新了这么多？
日常催更中(｀・ω・´)
一样的op，一样的味道。不要换不要换哈哈哈哈哈哈哈哈哈
为啥子改名了？我等了好几周发现没有以为你们挖坑了呢！！！幸亏今天上电脑端看了看
回到母系社会，你强壮的肌肉打赢了别的女人，扩哥就归你了[小电视_赞]
说太无聊的可能是没看懂那些梗
得亏看见封面觉得熟悉，不然就错过了
我也…超级喜欢…狮兄…阿
站扩斌怎么办，算是站错cp了么，哭
其实蛮希望扩哥和大圆在一起的，就是希望大圆开心，多好的一妹子啊，加油减肥!
帧数明显经费不足了
不知不觉又一季了
自从上次第六集更新之后。过去了，好久都没更新
早先崛起的国漫??！
话说躺着流眼泪不会流到耳朵里吗？
日了2季常，第三季怎么不日常了
好看好看！第二季结尾的惊吓还没过去…(°∀°)ﾉ就看到上了新→_→
离不开这部剧了，喜欢小斌斌[2233娘_耶]
制作组受到POP子与PIPI美的启发了吗。这集玩了好多梗啊
噫 居然改名字了
为什么不更新了呀
以为这么久没看能更新了，，，，对不起爷爷让你失望了
咋停更了？  好喜欢的说 期待出新
