有种中央一台播动画片的感觉是怎么回事????????
"二周目
━━━━━┒
┓┏┓┏没有女生宿舍日常看我要跳楼啦！！！
┛┗┛┗┛┃＼0／
┓┏┓┏┓┃　/
┛┗┛┗┛┃ノ)
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┛┗┛┗┛┃
┓┏┓┏┓┃
┻┻┻┻┻┻"
"写作天使，读作恶魔。
名为恶魔，身为天使。
OP有毒！！【蛆音娘_吃惊】又一部轻百合萌豚番降临～让我们来细数一下本季度的饲料：
节操社的urara迷路帖；
京阿尼的妹抖龙；
还有一些萌萌哒日常番：
南镰仓女子高校自行车社（271版权）；
亚人酱有话要说（pptv版权）
【蛆音娘_机智】当然还一些可爱的泡面番，比如猫咪日常～
**惯例放福利：
2017年1月新番OP/ED合集（1080P）http://www.bilibili.com/video/av7881356
有爱自取。部分新番还未开播，所以后续会不断追加，敬请关注啦！【小A和小B_撒花】"
三周目了，作者是不是忘了b站账号了？
抖音来的有必要一直刷？
注意！op开1.25倍速好听很多
巧啦我是茶啊二中男寝501的。
好像不错的样子～op也很好听啊
真是画风清奇，还挺逗的
糟糕的标题
真的太太太太太太太太喜欢刘诗 狮兄了！！！！！！！
刚来感觉还可以
我只想说韦这个字读错了，是二声
新补的 挺好看的 坚持为好国漫接评论
好搞笑的，喜欢这个国漫(｀・ω・´)(｀・ω・´)(｀・ω・´)太可爱了哈哈哈
厉害啦，这个国漫有意思，不错嘛
这个挺好看的，我挺喜欢讲女生的动画，话说以女生宿舍为背景的我还看过一个，叫极乐院女子高寮物语，不过是日漫，而且很老了
我也是高三的...
人设改一下也许会更好
开头好搞笑画风也好萌，追了
"画风喜欢，剧情有趣，配音自然。
(=・ω・=)"
中国有暴漫？
开头那个爬下水道的，怎么那么像我躲门禁的时候，emmm
这个画风好像我小学看少儿频道的感觉
"支持国漫
(=・ω・=)(=・ω・=)(=・ω・=)"
画风感觉很温馨，我国漫终于也算是让人觉得舒服些了
獅兄我愛你！！！！(｀・ω・´)
表白op毛泽少(=・ω・=)
我的女生宿舍是不可能这么可爱的
山新！山新！山新！
