这是耽美向作品，不喜慎入，也不要刷女主之类的，还有阿淼是公喵。
竟然还有人说这里充斥着腐女和gay要小心？？？自己在这里ky吧主角当成女孩子，被人说，然后把锅盖在腐女和gay头上？如果有人在正常bg里刷，肯定会被喷死的吧，现在自己ky却不以为然，真的双标
有些人能别刷女主或把阿淼变女，请了解下这是耽美向的作品，尊重一下作者别ky
"【获奖公告】

第一期 长评有奖活动共收到80条长评，感谢大家的参与！！
第一期获奖者是：一只肝成秃顶的咸鱼婶 
第二期长评活动从81条长评开始，如果你有更好抽奖方式的想法，欢迎在评论区留言告诉漫漫娘哦～"
夫妻档……双重暴击[2233娘_大哭]
评论里的某些睿智，希望你认清你自己，还有就是把你脑子的翔倒出来把脑子装进去好好看看，这是腐漫，不需要你们当成女生看，腐漫还不让人刷腐，你是太阳啊，你是上帝啊？这个腐漫我们腐女腐男想怎么刷就怎么刷，轮不到你来bb，至于说腐漫怎么样怎么样的，世界上的腐女gay多的是，你咋不去管呢，管的挺宽啊，你是太平洋啊？
有些人自己双标狗还好意思说别人双标，这就是腐番，没什么好说的，你冲着萌来的就不允许别人刷腐？而且这剧刷腐的真就不多，你讨厌腐还来腐番找存在感恶心人，来腐番diss腐女，你怕是石乐志
"我一个大龄单身男青年打死也不看“兄弟情谊”的番


真香"
如果有空的话希望大家能举报一下972、1044、1081、1154、1183、1238、1304、1306、1308、1324、1372这几层楼。不尊重作者原著和角色，恶意曲解作品本身是非常令人讨厌的事。也希望各别BG党不要再刷“把角色当女孩子看”这种睿智发言。你想看男生和女生谈恋爱请自行去找相关的番剧，在这里误导其他人很没有道德。
叔吸喵，树吸淼，这个动词怎么用都让人浮想联翩（手动狗头）
"喜欢日版配音别在国语版这边刷好么。。在国语版这边秀什么存在感啊，还特么说不引战，喜欢去你们日版那边拼命么么哒带速ki去啊(╯°口°)╯(┴—┴

蛇精病在这里指点江山。。还一副“哎哟啧啧去听日版吧。。”啥语气啊凸(*皿* )？？"
刷耽美天经地义，刷百合因为原著有可以理解，刷bg和乙女的有病病？
其实。。还是希望阿淼是男cv的。。
这是耽美向的，能别刷女主或者把阿淼想成女的吗
继某有生之年番后山新夫妇又承包了这个番剧
猫猫大啦，该做绝育啦！
看了中文版也看了日语版 觉得配音方面 日语版要好得多 更贴合人设 山新的声音太软了 配得完全像女孩子 皇受的声音又太受了了 不不 是有些干 日配的啊淼呆萌的同时还保留着少年感 而主角大树 日配里配得比较老父亲 温柔 我觉得出戏主要是因为cv的声线和角色搭不搭 个人认为 图特哈蒙的温柔大叔音可能更适合大树 小连杀或者冯老师（天明的cv）的**音更适合啊淼 其次还有中日配音在语气、语调上处理的细微差异 细节上确实觉得日配更胜一筹 【以上仅为个人观点 大家各有所爱 一个泡面番看着开心就好 其他的不用太细抠】
这种不符合社会主义核心价值观，有悖伦理的东西怎么...我这么晚才看到
看完之后默默看向自己养的四仰八叉躺着睡觉的肥仓鼠......你倒是变个啥呗( ´_ゝ｀)
bl就是bl，不要乱刷，zz真的恐怖
这么难得的番得关弹幕看，看见刷女主的就生气（#-_-)┯━┯
喜欢中文的不要在日版刷好吗！相对的，在国语版里也不要刷我更喜欢日语什么的，很遭烦ヽ(｀⌒´メ)ノ弹幕礼仪了解一下！！
虽然是夫妻档，但是阿淼是男孩子！求别刷BG（￣▽￣）
给大家推荐下这部漫画的广播剧吧~大树：轩辕靖日，阿淼：闲佑，两位cv现实中也是在一起很长时间啦，超萌哒！安利给大家!
"我是真的看不透评论区风向……
接受不了耽美你走就是了非要留评论ky一下干嘛……还换成女孩子就完美了[小A和小B_问号]"
有的人表面看起来很风光，其实背地里连只猫都没有´_&gt;`
这番就是耽美向，如果接受不了阿淼是男生就请默默右上角麻利儿的走人，别临走还倒点“垃圾”膈应人。 外面有的是非腐番，请到那里去当你“高贵”的bg党去，顺便还能当一把反腐的“正义使者”[小电视_无语]。  如果不萌腐但是又喜欢萌萌的日常想继续追番的，也请不要说“阿淼要是女孩子就好了”这种话，这是对作品和人物起码的尊重。
有没有和我一样是男孩子喜欢看的[小电视_害羞]
我觉得弹幕人设强调的十分充足。看完一集我就记住了两件事：1.男主真可爱2.男主是男的
总感觉阿淼不够受。。。
"开始先看的漫画，清新的日常系列。然后今天出动画片，我就知道我要开始新的追剧旅程了( ´_ゝ｀)

漫画家大树遇到了耳朵族的阿淼，与他成为室友。展开了新的生活。大树是一个孤儿，从小在福利院长大。而阿淼作为不为人知的耳朵族，由一开始惧怕、不相信人类，到后来和大树形影不离。这两个人都是互相的精神支柱，也是互相温暖与力量的来源。

看漫画的时候就觉得，大树和阿淼都是善良的。大树的善良是细致的，给人安全感的。而阿淼的善良是天真可爱的。他们总能给平凡的生活带来温暖与乐趣，看到特雷西胡的漫画就感到充满阳光，或者说是阿胡笔下的角色就充满阳光。
以及动画没出现的角色，他们都发着温暖和善良的人性力量。冬夏、伊万……

直接哭了啊……在漫画原著里的情节。
“成为一个没有用的人也可以吗？”

我不能拥有的东西；我以为我不能拥有的东西。我弄丢的东西，我以为被我弄丢的东西。那些我以为遥不可及的东西。只是被我遗忘了而已。“是你啊。”

就是喜欢他们美好的生活   不在浮华人世的纠纷中。"
按理说虽然标签没有但正常人点进来肯定要先看评论的吧，怎么有些直男一个个的都要把阿淼当女生看？没见过可爱的男孩子不怪你，出来作妖就是你的错了还直男看不下去。直女第一次看到这样的情况，是走程序还是直接生气？
动画归动画，偷。，。拍这种事情现实中千万不要做，非常不礼貌，不管出于什么意思，都不要偷，。。拍，尊重别人的肖像权啊。
猫耳是软骨明明不会疼，和人一样，戴帽子应该和人带耳机一样，不会疼才对，( ´_ゝ｀)
阿淼的声音 我好失望....... 感觉阿淼应该更软一点（没有喷的意思
"看来只有我一个人注意到了配音表
大树:皇贞季
阿淼:山新
(இωஇ )"
都8102年了，还接受不了双男主设定啊？家里没无线还是不看电视啊？ ó╻ò
男孩子和男孩子也是很可爱的哦，请您注意不要ky哦[蛆音娘_疑问]
"呀~~~
呀~~~~~~~~
呀~~~~~~~~~~~~~~~~~~~~
喜欢！！！！！！！！！！！！！！！！！！！！！！！！！
好可爱，配音也好听，猫耳朵简直无法抵抗，喵喵喵
加油，加油，求日更！！！！（咳咳，开玩笑的，只是表达一下迫切的心情（￣▽￣））"
"只要你把耽美当成少女爱情小说，你会发现:鸭儿，比少女小说还好看
 
别在这炫耀你那“正直”的价值观"
戏里是情侣戏外是夫妻哈哈哈哈哈哈哈
喂，看见耳朵了！的所有实体本都买过ヽ(≧Д≦)ノ被妹妹安利看的，之前特雷西胡去北京漫展办签售的时候抢到了第一个，每一本都签了名，还有手绘，再加帮妹妹要了一个to签(我知道有点多但是特雷西胡老师一点都没有不耐烦_(:з」∠)_)阿淼超级萌\(//∇//)\每一对cp都很有爱，不过本人最喜欢的是小银子和主编啦啦啦，希望能够看到(不知道有没有)，妹妹喜欢东东哥和大金毛cp～(￣▽￣～)~不过有生之年能够看见动画化已经很开心了，希望后面的剧情也一样精彩[小电视_赞]
夫妻档 这是狗粮啊
看了下评论，两个都是男主其中一个却是明显的女孩子声音确实容易让人误会……画风也像妹子，介绍也没说耳朵族主角是男的，要是能说明一下就好了，对于不了解的人科普一下就好了，故意抬杠的举报吧，别吵架真的，那些挑事的人巴不得大家吵起来弄得乌烟瘴气的劝退不明真相的路人
1238楼麻烦大家去举报一下，谢谢了。
前一千！😂竟然动漫化了啊啊啊啊啊啊啊啊啊啊 不过不是大叔音有那么一丢丢 小小小失望 不过还是很棒辣！！！！
配音cv是夫妻。。。。。。这骚操作也就只有国漫有了吧(･∀･)
妙啊，我就是喜欢gay里gay气的
女性声优配**音再正常不过 淼淼是男孩子 这是bl o不ok？
注意！！阿淼可是男孩子啊！是可爱的男孩子！！虽然cv是女王大人但是这**音完全合适啊！！！太萌了\(//∇//)\
那个说为什么不是母猫的请您麻溜的滚远点好吗**？
哈哈哈哈，挺好看的。。国漫大爱大爱大爱
看见皇贞季和山新，果断追番
我以为。。。有人在喊我。。。啊淼。。。hhh
"之前一直以为是猫耳娘，不感兴趣
后来知道是蓝孩纸后开始失去理智追这个动漫了！"
两点注意：1，不要喊大树为大叔，作者不太喜欢的样子，调侃过大叔的问题。而且大树只有22岁，沉稳是因为他性格忠厚，并且小时候在孤儿院长大。作者说之所以叫树，不是谐音，是“树”包含了大树的性格品质，具体我忘了是啥。2，这部是真-耽美漫，里面涉及多对男男cp，和一对百合cp。
这样的给我一只，，就是耽美向才看的，送币币的说
我忏悔，在淼淼因为耳朵被帽子盖着而痛的全身颤抖的时候，第一反应是大树遥控器调太高档了(⌒▽⌒)
啊啊啊我从漫漫漫画连载就开始追的漫画，现在成了动漫!好开心啊啊啊，虽然一集很短，但是这个一定要追下去啊(ฅ&gt;ω&lt;*ฅ)
当初萌上耳朵好像就是看到淼淼被大树一把扯到怀里，用衣服护住淼淼的耳朵以免被其他人看到的举动给去苏到的！淼淼很喜欢念叨着麻辣烫，爱吃鱼火锅，然后日常就是大树忍不住摸耳朵扯尾巴，一言不合被淼淼嗷呜一口然后再用可爱的表情给萌化，两人的互动可以说是非常暖心了！这边的大树安慰淼淼的时候真的好温柔啊，而淼淼的声音也好可爱，很喜欢看他们脸红的样子呢！
黑猫男友的疼爱方式[小A和小B_哈哈哈哈]
让女孩配音我怕啊淼性别给人搞错了啊( ´_ゝ｀)
一看到大树，想到了周树人哈哈哈哈哈哈哈或或或
虽然这样说有点怪 但是我一个大老爷们居然追漫画追到现在出动画了......this nigger gay (=・ω・=)
和我想的一模一样，终于不是国漫统一画风了，没有篡改台词，加一些无聊的台词什么的，第一集就是第一话，没有乱从中间选一话弄成第一集，看的很舒服
我为什么点进来看gay番啊[小电视_吃惊]
夫妻档配耽美可还行。。。。
接受不了和不喜欢的话为什么还要说出来呢..。不能直接走嘛。
不爱看就不要逼着自己看 而且日漫也有很多女孩子配音男角色啊←_←因为能更好的配出少年感。主角一点都不娘啊一眼就能看出来是男的
"[喂，看见耳朵啦！_懵][喂，看见耳朵啦！_嗷][喂，看见耳朵啦！_抱大腿][喂，看见耳朵啦！_抱走][喂，看见耳朵啦！_壁咚][喂，看见耳朵啦！_冷漠][喂，看见耳朵啦！_嘤嘤嘤][喂，看见耳朵啦！_吓][喂，看见耳朵啦！_chu][喂，看见耳朵啦！_爱你][喂，看见耳朵啦！_舔][喂，看见耳朵啦！_有空一起睡觉觉][喂，看见耳朵啦！_举高高][喂，看见耳朵啦！_我萌我说什么都对][喂，看见耳朵啦！_太不可描述了！][喂，看见耳朵啦！_摔倒了要红包才能起来]
＿|￣|●真的超可爱！！！"
重复看了四五遍的只有我一个嘛( ´_ゝ｀)
无论是漫画和番都不够看，哭唧唧(´;︵;`)
这番该死的甜美_(:3」∠)_
bl什么的最有爱了，尤其是人外ʕ •ᴥ•ʔ
单单看着cv我就感到一股恋爱的酸臭味……[小电视_害羞]
1265楼麻烦大家去举报一下，谢谢！
说声优配的不好的...山新和皇贞季那些人认识嘛
啊啊啊啊啊，当初最喜欢的耽美萌漫没有之一啊，还是大王夫妻档配的，圆满了圆满了，°.*\( ˆoˆ )/*.° 就是，进度条，我劝你善良好吗？ (̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄
"今天，一打开b站，我立马跪了下来
从未想过《喂，看见耳朵啦》能改编成漫画，（因为漫画很久以前就看完了，所以没关注）
今天整个人都是轻飘飘的~~~翻来覆去地舔屏（阿淼怎么这么可爱啊啊啊啊！！）
然后非常谢谢制作这部动漫的大大们，你们辛苦了！！！（づ￣3￣）づ╭❤～"
啊啊啊啊啊恭喜特雷西胡大大！！！
"话说我的名字里就带淼字，，，，，，我妈都叫小名淼淼，，，，我看这番的时候。。。。好多刷的弹幕真tm让我头大[芮小凸小凹_哼]
啊~世界原来如此美好"
