各位小哥哥小姐姐们，你们都知道什么好看的动漫吗？可以推荐一下吗？谢谢！😊
我只想说，我一片面包还没吃完就看完了，能不能一集多几分钟，简直是。。。。
太快了吧 我要崩溃了。。。。我等了一周就等来了三分钟。。。。。
辣么帅的钟总管居然是太监！！！
巨巨是什么？富贵花回家结婚
来来回回看了好几遍，就是太短了，根本不够看😂😂
男主是谁?皇上还是瑞王啊，不想站错cp，我觉得瑞文好像很好吧！
好短啊！刚来兴致就没了，根本不够看啊！
这不能算动漫，只能算是有配音的漫画
一个星期三分钟。编者大人，你划算啊。
那位大神知道这部漫画在哪个软件看得？
超喜欢趁着我还是vip求求你多更一点吧，笑哭😂
这就没了 还有没有第二季啦～虽然很短小 但是画风好精美 人物好美型哦 花痴脸，还有第二季吗，要是时长能加长吗(⁎⁍̴̛ᴗ⁍̴̛⁎)
主角是瑞王？为什么结尾背景和封面都是他，喜欢皇帝
难道这就是传说中的——遇见你之前我对择偶的有标准，遇见你之后你就是我的标准。 老夫的少女心啊~~ (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧
看得我老脸通红〃∀〃在一起在一起
那个……能推荐一下和这种画风一样的漫画吗？真的超喜欢这样的
n刷！！！！！！！！
能更新快点嘛，一周一集不是找骂吗
这个叫动态漫画(￢_￢)
太搞笑了，又小白，又搞笑，很好看，期待更新哦😍😍
这部剧有一个很神奇的地方，就是所有的男生都有一个不靠着墙就可以壁咚（或者说是手咚）的本领
3分钟的小视频，酬和看看吧，免费的，制作人也费劲了呀
emmmm开始无限瞎想✔
唉，超好看特别喜欢太劲爆了是我喜欢的漫画的一种类型嘿嘿嘿嘿
3分钟的就别出了 吊人胃口
这集怎么这么短，我等了一个星期呀，做视屏的你们怎么了，出去玩玩了吗？
说出来不敢相信，我居然搜过这部剧，全程😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
其他就再短都有十几分钟，这个只有三分钟也太短了吧
挺喜欢的 就是更新太慢
我只能说人物倒是不错，就是声音有点尴尬
每个星期就等这几分钟，啊啊啊啊啊啊，完全不够看啊！！！！
為什麼播到1：07秒就變成另一個視頻播放了？VIP也看不到後面的
哎，看起只有真的别扭了，还是差日本很多很多啊
以为不好看，画风好看结果看着看着一集没了。
动漫看不够，就来漫画呀！《我在后宫当巨巨》漫画
哎呦，好看就是太少了
好看，就是太短了，为什么？为什么？为什么？
我要投诉，这么短，关键时刻就没有了
一星期5集还差不多，一星期才一集，等到花儿都谢了！求一星期多集😂
配音好好 ，剧情也可以，就是太短了。很有潜力😄
为什么不长点，没看够，太短了
画风好棒！好帅，好久没有看到这么有英气的帅哥
帝王攻略！！！推荐推荐，好看！西南王浪子野心，图谋皇后之位
人物都不错，帅的一塌糊涂。但是感觉女主不够美艳啊！剧情需加油
哎呀。妈呀，一直追漫画，现在出动漫，真嗨皮啊，好看好看。支持
这漫画哪里看？？？？？
超级好看单身能不能长一点呀老师精彩的时候就没了呀
说到仪态：就我想到了蓝二哥哥嘛？😝
好好看！😍😍😍😍😍😍😍😍😍😍😍😍😍
超级喜欢，被美男撩到了，好帅好萌，快快更新吧，期待
好男色……哈哈哈哈哈哈哈哈很好很好
妈哎，少女心都起了，画的好好看
里面的人咋都这么帅😱😱😱😱
一周一集，一个月三集，一个月二十块(续费15)😒😒看了这玩意是不是得不充了
我的妈呀，陛下绑头发那里太撩了吧。简直心都要跳出来了
太搞笑了。。。强烈支持啊
噢卖噶得。 这也太长了吧。
没时间画吗一级五分钟斗没有。是广告吗？
期待能有第二部，好期待呀
好看 就是太短了 而且更新好慢 都看不够
每个人都好漂亮，就是太短了
