如果有一天，爆发病毒了，你们会怎么做？
照这速度，讲完全部剧情得多少记？（顺便表白一下原著，虽然很久以前就看完了，但一直都很喜欢。没想到今天居然看到出动漫了！！！支持国漫，加油！）
这个好像应该是片没女主
为什么不做我叫白小飞，中国惊奇先生。那该多好
好看好看，就是动漫太短了，剧情不错。
就一句：中国禁枪那么严他们怎么拿到枪的
动漫没有女主将会没有意义
雷声大雨点小……当初动漫化有多少人知道，可动漫上线了有多少人知道？要不是翻一翻分类，根本不知道……🤣
如果林木森不这么做的话，怕是早就团灭了吧？我个人感觉林木森是对的，温柔在这个世界上是活不下去的，因为这个世界既不温柔也不正确。
一个照明弹，让你们搞出了导弹的效果
被感染最好的办法就是把被咬的部分立刻割了
闻且歌后来为拯救所有人死了，决明恢复了真正人格，蒙峰后来也感染了，被控制，成了感染者的首领。。。。。
为了看懂动漫我去看了小说，但有一个问题刘砚真的不是女主吗？！
看到第九集那个骂圣母婊的是什么心态……如果在末世里人人都那么冷漠的话，人性彻底丧失，那才是真正的末日
播放速度调到1.25倍，你会回来给我点赞
丧尸不都是发现人类应该有3秒的加速和狂暴技能吗？
蒙峰和刘砚是基友吧，是吧是吧！哈哈哈，莫名好有爱。
知道原著是本什么类型的书请点赞告诉我，地球弦与你同在
我觉得林木森的存在是有必要的，在这么一个世界里面，必须要存在一个狠人来解决后患。
从半截开始啊?那你这人物能塑造好吗？蒙锋有种猴子脸的感觉，其他人也是，原画是不是有点执着刘海啊?发型都有点土味。
我去！我都不知道，啥时候演的？2013，666666666666
剧情还不错 但是这每集的时间，无语 国产动漫就是这样。
人物，特别是受，太矫情了，设定不应该参考原著吗？在刘砚身上我看到了不二和其他日漫温柔人设的影子，但人家真不是这样的啊
很久之前看的这个，超喜欢决明父子，，，虽然知道改编动漫，
有没有王者荣耀带我飞的人
这一开头，我还以为是白小飞
这么大的事，竟然没有军方参与，这不符合逻辑
拉来了沙发垫，来来来大家一起坐沙发
没有一丝防备，第一集突然冒出一堆人名，毫无过渡的突然剧情，一开头就看的一脸懵，感觉像是从一部动画的第三四集开始看，而不是第一集
如果没看过小说我现在肯定懵逼的一脸🌚
我只想问一下女主是谁啊？😂😂
才发现已经播了……一口气看九集。2013超好看，动画就凑合看看吧，看过原作觉得叙事有点儿乱。而且把感情戏砍了心好痛
心疼国漫，还要对口型的，啧日漫也是只动嘴怎么没人说？敲你妈？
不太真实，当老大的身边没女人，可能吗?
为什么出现的日期是我的生日😒
没看过原著，但感觉看了这动漫还不错，值得一追，配音也很到位
国漫总是放着放着，突然又放回事发之前，有意思？
"蒙峰和刘砚俩人本来就起一对儿的，之前因为高考俩人分开了，估计俩人马上就能又在一起了。
ps：刘砚是受哦"
就像问刘砚和蒙烽是一对吗？
吐槽？要吐槽地方太多了，就是看个乐呵吧。
"以前看末世小说的时候多希望动画化啊
这部作品还是挺不错的。
但中国的尿性啊
想看更血腥点的还是太勉强了啊"
感觉画风不错，第一印象
这开头跳的有点大啊！剧情太快了emmm不管怎样表白我决明小天使
原著真的特别好看，人物刻画也不错，而且人物形象都是特别好的那种……动漫人物还原度并不是很高，不过已经不错了……虽然没有了感情戏感觉少了很多东西……
我记得几年前为了买到《末日曙光》小说跑了半个武汉市，最后在网上第一次购物，第一次和同学抢着看一本书，第一次看小说，这本书有我太多的回忆，希望动漫剧情细节做好一点把，不要仅仅为了搞笑而改变剧情
感觉丧尸攻击力不强啊。没有江小白那个里面的丧尸给力
一来就是边大 没看过原著 不知道该得怎么样
遇到危险无业游民秒变神枪手
也没觉得这个哪不好，但是就喜欢看觉醒之入侵。还是感觉那个有意思。这个有些无聊的很。
喜欢刘砚，唉，真好奇最后大结局是什么？林木森会死吧，得罪男，男主
中国那动漫一集八分钟剧情的真支持不下去
小说很好看，没表现出来有点可惜。
作为书粉……我竟然不知道有动漫了……好尴尬啊……以前看小说就想着拍个电影什么多带感啊😍我们不缺题材缺拍的人才~~这个下架那个下架……唉~~~
除了毁原著三字我无话可说
感觉刘砚跟蒙峰关系不一般
为什么绝明被咬了还没变身
"想念白小飞，白小飞比这个好看多
了"
挺喜欢这个片头曲的，好听，节奏感很好。
我有点害怕，这是鬼片吗……
看过小说的人觉得剧情不对劲，没看过的表示看不懂……除去原感情设定不说，小说中人物特性非常明确也很复杂，末世下能幸存的肯定不能是傻白甜，动画改的人物性格有点弱，剧情也省略了太多重要节点，本来是让人紧张到绝望的末世求生被动画拖慢拖得有点着急
末日这样做 ，刘砚能活着挺难的，心善，不如卖保险的。心善分场合 ，自身难保了都。你看卖保险的，当时就看出那胡珏不是省油灯。一下这么多人，粮食不是那么好找的。
女主呢？好不容易有一个女的却是喜欢的别人
发觉这段时间出现了好多漫画，兴奋死了[害羞][害羞][害羞]
林木森有些事情上处理的很对啊
想看末日蟑螂动漫的举手
我觉得林木森做的不错，毕竟是末日，这群人都是菩萨心肠，被感染的人迟早一死
