不管动漫怎么样，就斗破的剧情，我就点赞，没其他的，就是这么喜欢斗破。
起码药尘应该是个小白脸儿啊…怎么是的大叔？？？
别拍了，这样有意思吗，看个电视等半年！！！
"推荐
啊啊啊…………"
熏儿还没有萧玉漂亮呢
超爱看两个斗，一个斗罗大陆，一个斗破苍穹
能不能更新快一点，感觉90后看到八十岁也看不完
当我白发苍苍之时，能否迎来你的完结。
天生我才必有用，千万莫欺少年穷
看了一遍又一遍，啥时候才更新啊？
斗破苍穹很斗罗大陆没法比啊，唉，看了斗罗以后都不想看斗破了，
哈哈哈
嫣然不好看，还好熏儿颜值还在
第二季什么时候更新！！！？？？
没有斗罗大陆好看，斗罗大陆好呀！
电视剧导演智商 玄幻武侠分不清？斗皇 斗圣都骑马了？
这个药老越看越像猥琐大叔！
其实吧现在才知道为什么这么多人骂第一部，原来是为了偷工减料，改了剧情，不过第二部已经改正了，全部按剧情走。良心了，
有斗者、斗师、大斗师、斗灵、斗王、斗皇、斗宗、斗尊、最后斗帝
""
我又回来看第二遍了，第二季人物剧情太差了，
那个柳席是真的猥琐，长相一言难尽哪，，，，他舔舌头那里吓得我水都倒翻了
为什么一直在12集呢？不再更了吗？好可惜，和看原著有着共鸣，有着同频，希望会延续下去，做的真不错
斗破苍穹比斗罗大陆好看的多，就是他妈的更新的太慢
喜欢
这个背景音乐是什么啊！
有没有和我一样感觉的，叫的这个消炎哥哥，请一定带上熏儿，这些话的运气，很像仙剑里，灵儿喊逍遥哥哥那种感觉啊
为什么消炎的斗值会这么低，是不是被人吸收了
看了小说在看动漫，总感觉哪都不对
像我一样，等个五年半半载，等更新完了之后，一口气全看完
过分了啊！多久没更新了你心里没点逼数吗？
