"咋都没结尾的【西行纪】特别喜欢小羽
小羽声音好听
剧情都挺好的"
表示没看过原著小说及漫画，但是好喜欢这个画质啊啊啊，目前看到3D国漫里最好的一部了，男主太帅了，本来没期望的因为男主追剧啊啊啊，话说翻了一下漫画，画风好难看啊，对于我这个颜控没看下去的心情，果断还是追剧
首先这名字 让人不由自主的联想到西游记 但这和西游记真的一点关系都没有！不想看可以绕道隔壁魔道祖师
孙悟空等人在当年取得奇经回来，在天宫时因为一个梦，夺走了奇经。与三眼大战时唐三藏念了紧箍咒，落败被斩首并封印于男海。事后唐三藏率领白狼、猪八戒、沙僧、白龙去解除封印并让孙悟空轮回转世。之后的孙悟空就跟开挂似的
"大河向东流啊,谁是一楼谁是狗啊,嘿咻嘿咻单 身狗啊,永远没有女朋友啊,对着-楼一声吼 啊，飞起一脚踹他头啊，嘿咻嘿咻，踹他头啊 把他狗头当球踢哇，还好一 楼不是我哇"
看了这部动漫才知道原来龙王这么牛逼的啊，那猴子岂不是无敌的存在，哎，现在的电视真是越来越不尊重名著了，瞎编的能力越来越强，这可能就是他们所说的奇想吧
就算孙悟空出来也没用.孙悟空没死前可以和三眼打平.后面的剧情是孙悟空复活后.复活后的孙悟空不是二郎神的对手.可以这么说孙悟空谁也打不过.这就是这部剧孙悟空的人设.而且孙悟空复活后还会被杀死
正在追原著漫画，剧情真的很丰富，人物形象也挺丰满。亦敌亦友的如来与阿修罗王，守护战友荣誉的三眼神将，用拳头讲道理的三藏，偷奸耍滑最后浪子回头的熬雪，桀骜不驯的却惧怕牛小妹的大圣。宏大的世界观，丰满的人物，这些内容非常丰富，我觉得不是日本那种个人漫画家能达到的水平，不是漫画家能力不行，是一个人创造的世界永远无法与一个团队相比。
剧情挺好，但我想问😭为什么所有动漫都一周就更新一集呢？
我看了一下其他人发的贴子，什么毁经典，你不想看没人拦你，我不许你这么说，西游记最后师徒四人取经就完结了，作者只是凭借自己的想象力对西游记进行后续故事，并不是毁掉什么经典而且简介中也明确的告诉你，师徒四人取经后十六年后发生的事情，所以请不要随意评价这 部 作 品我这是觉得这部作品挺不错的👍👍👍👍👍👍希望作者能够一直续写下去
我就想说一下，朋友在一家3D动漫工作室工作，制作一部3D动漫的开销很大的，画质越好，开销我的越大，经常加班，然后一集10分钟的动漫就出来了，你可以看不起国漫时间短，但是请你尊重别人的劳动成果，你可以提建议，但是不要当键盘侠，你觉的不舒服是你个人的观点，不要以偏概全，好不好不是一个人说了算的，大家说了算，谢谢？
这个画质真的舒服，不错，够吸引人，国漫进步是真的越来越大了。
着画质，着剧情，这效果，大家看到不点赞对不起这些团队！我把顶上去，让大家看看！我爱国漫！雄起！！！！
"为什么 我悟空大人会遭天军那些人杀。
我那曾经连 天军十万天兵天将都从来不放在眼里的猴哥怎么现在被那些天军杀了，还我猴哥"
我只想说一个星期一集 一集16分钟 前面4分钟序幕 后面4分钟序幕 中间剩了8分钟 8分钟还给我回忆两分钟 剩下6分钟可以看 你们特么有毛病啊？？？
现在的国漫确实看到了非常大的进步，各个制作的虽然不尽相同，但在国漫里确实各方面都很好，看第一集开始的时候，小龙女的形象非常好，这是美工的功劳（加鸡腿）说实话相比于萧薰儿一个是真美工做的一个是临时工做的，好了，才两集先这样，我要去截个小龙女的图当壁纸！
挺好看的，不过看后面的预告这个唐僧脾气有点暴躁啊，武功肯定也不低
弃了，弃了，全集都是救救我，一点热血的血性（狼性）都没有，主角不展现出不放弃，要拼要战，要战至最后一滴血的热性（狼性），反而是软弱求救， 这段的片景就应该是主角展现出了他那种狼性，但最终还是打不过，可他却不放弃，最后他的这种狼性感动了唐三藏，唐三藏在一首热血， 燃，的BGM中一拳杀出，救下主角
知道做一集多难吗！这种风格一集都要花巨资，建模师，设计师也是人，你要有钱把整个公司包了，请个几百人去做，一天几集都行。秦时那边播了十年，这边才几天就等不了啦？
最爱看腾讯影视的动漫，让我感觉到了中国动漫的进步，每次就是因为动漫才充值的会员！！！
这能出个电视剧版的吗 好想看真人来演…
国漫加油，很好看。不像某些动漫，就是来凑分钟数，就那么几分钟，就完事了。
在这先给大家剧透一下下，猴哥目前已经死了，片头不有一个大猩猩的石像吗？那就是猴哥，现在灵魂被封印，不得重生，日后师傅，猪八戒，沙师弟集结了之后，就会去救猴哥，小羽在这集之后会变成灯(可以这么说)，在把猴哥久了出来之后就会再次变回人行，至于猴哥啥时候复活，复活之后变啥样，感觉这一季应该不会出来。。。所以我暂时不打算说，有兴趣的话可以去看漫画的
第五集预告觉得唐僧有一丝牛逼
好想看孙悟空复活那一集了。还有白狼找玄奘的那一集。还有，孙悟空惨死的情景。
超级超级短的剧情，简直丢进动画片历史的逼脸，狗肉永远上不了正席！
白龙马，不是西海龙王三太子，怎么变成东海龙王三太子了？ 东海三太子早以被哪吒抽筋死了。
"陈独秀曾说过：如果把西游记倒过来看，其实更社会。
如来派师徒四人带上八部天书和小白龙去东土大唐传教,在一路上遇到了各种妖怪,打来打去发现他们都是有后台的,无论怎么作恶都不受惩罚，八戒和沙僧觉得太黑暗了,无奈一个躲进了高老庄,一个钻进了流沙河,只有悟空坚持正义一路斩妖除魔护送师傅东去传教。 结果天庭对悟空实在忍无可忍就和如来达成协议——我们可以保证唐三藏平安到长安,不过你得把孙悟空这个刺儿头给办了,如来同意了，在一翻阴谋之下，白龙重伤坠入山涧，悟空败了，被压在了五指山下,而唐三藏却抛弃了孙悟空，孤身来到长安，在长安传完教，被封为御弟，享受完荣华富贵，寿终正寝。 就这样过了五百年,悟空终于从五指山下逃了出来,一声不吭,把天庭搅了个天翻地覆,天庭被逼无奈许诺让猪八戒化为人身，封为天蓬元帅 ，沙和尚封为卷帘大将，只要他们能够杀掉孙悟空。 ​最后的最后，因为兄弟相残而心灰意冷的悟空去寻找菩提祖师解惑，然后他封印了修为，如意金箍棒扔进了东海化作定海神针，回到花果山，陪着猴子猴孙过完了平凡的一生，最终在花果山的山顶化作了一块石头…… 这才是真正的社会。 怎么感觉西行纪很像？"
李靖把哪吒叫到书房，问:哪吒，你知道为父为什么这么怨恨你么？哪吒答到:孩儿愚钝不知。李靖一声叹息:你娘怀胎三年六个月，你知道父亲是怎么过的么？哪吒再次摇头。李靖沉默后淡淡说了句:爹的左手都能托塔了。
我来说一下大概的疑问，白狼不是悟空，白狼的口吃到后边就会好的。悟空被封印了，封印破解后跟三眼打，悟空战死，然后重生，女主就是小羽，只不过前几集会变成奇经，就是三眼要拿的东西，三眼，观音，如来，持国，还有个什么天王不是反派，师徒四人都很厉害，现在的天庭统治者是帝释天的恶念，所以天庭是反派，后面还会出来三清，灵宝天尊是女的，牛魔王是女的，只不过被他爷爷给坑了，变成两个人格，一个牛妹妹一个牛魔王，但是牛魔王本体是女的，喜欢悟空，还有个帝释天的女儿也喜欢悟空，不了解剧情的可以看下漫画
一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少一集比一集时间少
给不知道剧情的朋友说一下，以免大家有所误解。西行纪它是原创漫画改编的动漫，是从西游记上改编，可以说它是另一个故事与西游记不是一个世界观，大家不要以原著的西游记和电视剧来对比。其中大多数神都是以印度神的名字来建立，但还是有我们国家神的影子和名字，比如三眼天神和后面出来的创世三清。很多朋友打着原著名号（其实大多都是电视剧的剧情来说）来说这动漫，再给大家说这是原创剧情到后面就可以清晰看到，所以请误喷，感觉慢的朋友可以去看漫画是免费的。还有一件事，请有些看过电视剧没看过原著小说的朋友补补原著吧！电视剧也是改编在很多剧情上做了很多整改，与很多原著剧情完全不是一回事，刚刚看见了一个评论说大致意思就是经典比原著出的早，看书的为啥来说剧情。让我很莫名奇妙，经典是经典，原著是原著，别拿经典说原著。所以大家请大多了解一下原著，谢谢各位。
每个人都有自己喜欢看的电视电影动漫，每一部片子都有自己独特的精彩部分，价值所在！支持每一个片子，让我们有哭有笑，也让我们学会许多东西，每个片子都是越做越好，越做越好看！Fighting!
我很幸运中国有这样的好动漫，中国的动漫越来越好看了！虽然二维动漫比不上日本，但是国产的3D动漫是日本没法比的！！未来的趋势，个人还是比较喜欢3D动漫！
好多人不了解，看过西游记后传的人都知道天帝是帝释天，玉帝是昊天。这讲的是如来取经交给帝释天，结果发现其这面目。然后夺取，刑天还曾经刺杀过天帝，被斩头颅，阿修罗被关地狱。只能让他们去找唐僧
很美，打斗各方面都很精彩，难道只有我一个人看到国漫的优点？看到那么多人吐槽视频太短又这又那的人，感觉这些人生活中心胸都小到不能再小了，又想精彩又想好看又要长时间，加上又不想投资，可想现实中这类人有多自私多恶心，多少国漫都没人投资制成动漫啊？做人该知足少把自己丑陋的怨气表露出来。
"说实话，真的是辛苦官方了
人物设计 还有剧情
配音 可谓是良心制度
官方大大继续加油，我会一直关注的"
为什么每部电视剧都是这样，一周只更新2集或4集，其实这样最不好留住观众。
杀心是夏磊大大，也是墨鸦。小时候的天羽织是醋醋，长大后的是冯骏骅，是天明也是月神～她老公谢添天配的是敖雪还没出来，也是白凤哦。
明白剧情的 去看看漫画吧，别问些没脑子的问题，1:白狼不是口痴 只是刚会说话还不太习惯，2:西行纪是取经后的事情 不是西游记 猴哥只是主演之一 剧情不会绕着他转，最少5级后才能露面呢 3:所有角色都不是你认知的那样。慢慢欣赏吧
帝释天是佛教里的天神，阿修罗是恶魔，每次看到这种颠倒黑白的动画就无语
这部动漫，比起我看过的原篇漫画，可谓一厘之间，失之千里。国漫的创造力有时不得不让人在欣赏之余，发自内心的称赞一声“了不起”，不论哪个地区，哪个风格，哪个本子，经国漫化，都会让我感觉到一股装腔作势的尴尬。多余的动作，多余的对白，多余的心理描写。脸谱化的人物性格。即使包括特效，都不会让我觉得很舒服，和漫画完全是两个风格的产物。真要说的话，像是##充斥的玄幻风。
我比较喜欢那只白狼，他应该是主角吧，保护女主角应该会更精彩哦！很期待啊…喜欢就点赞吧！
加油 加油 以前看的动漫都是每天两集 在电视上看 现在中国慢慢做好动漫 慢没事 我可以等 希望中国动漫🇨🇳越来越好
你们这么串改西游记，不觉得是在侮辱嘛？
逗比啊孙悟空打不过天庭的人还特么这样演我们这些悟空的粉丝团咋能受的了
唐僧:物理＋辅助，猴子:物理＋坦克，八戒:蓄力物理输出，沙僧:刺客＋辅助，熬雪:电系法师，白狼:狼魂＋龙魂双buff输出流，小羽:奶妈。
为什么龙王这么不禁打，怎么设定的?能跟天庭对抗那么多年，不说龙王能打赢二郎神，起码不要让二郎神赢得那么轻松吧?
大家都说时间短，都不想想制作多难，这动漫这样的品质，虽然短但是人家尽量多更新了，别抱怨了，很喜欢这动漫制作真心不错
那么多开头，片尾，能看的东西那么少，拍个什么啊，不就想多更几集，赚我们的钱吗，真无能，顶我上去，让作者看到
故事情节很充实，画面很震撼。很好看的一部动漫，就是不知道我活到80岁的时候能不能演完结。人家都说中国的动漫三代同堂都看不完，不知是否为真？
漫画没看完，不过剧情确实不错，讲述的是另外一个故事，唐僧师徒4人只是其中的配角，而且性格也和西游记中完全不同，一个孔武有力的唐僧
无处不在的慢动作，想起来西游记后传的重复踹人动作，连打架都不停的分析，废话，对话想起了罗家英 拖使劲拖，反正那么多动漫来回换着看，其实我都忘记开始啥样的了，是我好忘事吗？感觉之前演的什么都忘记了最多记得两三集
国漫哪里都好就是时间太短！有那么多精力就多做做内容，别光想着特效 特效！片头将近四分钟，片尾又是将近四分钟，总共十六分钟的动漫还剩多少？主要剧情怕是只有两三分钟吧？全十六集！还是周更！这就是国漫，可以！让人越来越心寒！
给你讲个不可思议的，土地老爷爷其实是男主救下的一个小女生，一开始白狼一身伤就是因为救那个女生跟老虎搏斗所伤，可惜那个女孩还是因为被老虎伤得太重死了，那个老虎后来喜欢上了小羽跟天尊拼死了，可怜一虎
怎么说呢，这不是我想看到的孙悟空，我是个悟空迷，在我心里孙悟空齐天大圣，无所不能，在这里却被一个手下给打败
动作僵硬、对白惨白，尴尬的内容，最想不通的是把神的世界写的跟人一模一样，动机、目标、打斗完全是江湖争斗，那还有什么必要有神，直接写江湖不就行了
色彩用的很好！龙王的配音就是一人之下陆老的配音吧，超喜欢，辨识度很高！暑期最期待就这部动漫，期待越拍越好！
好好看下去吧各位，后面剧情非常带劲哦，搞笑，热血，耐人寻味。特别是后来狂王的剧情，简直爽到爆。杀心和三眼神将可不是坏人哈哈，剧透一下，这里面猴哥可不算是最牛比的哈。
不得不说国产动漫好看更新太慢。看的冒火
我觉得帝释天和如来也就是一样水平，三清比较厉害，不过这漫画我最服的是阿修罗，狂王，看谁不爽就砍谁
挺不错的，漫画很早就看了，画面看着比斗罗舒服，不过这个好像2年前都有预告了，时间准备充足，斗罗就有明显的赶工，细节明显不如这个
这是我见过最良心的国产剧了，大赞
这也太短了吧，难道这就是为什么很多人不爱看国漫的原因嘛，一共十六分钟还是最长的时候，去掉片头片尾就剩几分钟能看的啦，有没有搞错啊，我的天
不错啊这个模型弄的，漫画过来的，剧情就不用讲了，很精彩，不过我想有一个想法，就是弄一个粤语配音和一个国语配音，因为毕竟作者是香港的，粤语配音更贴切
无敌天军？好意思说，当年十万天兵天将都拦不住猴哥，还无敌呢，他们那来的自信😂
都说了跟西游记不一样，非得有那么几个非要杠，笑死了你要看西游记去看书去看电视呗来这凑什么热闹呢，非得抖个机灵显得您看过西游记？？？您几岁啊？逼着您看了不情不愿的还叭叭没完
很多人吐槽3d动画，我想问一下，这才几年，国漫的良心和进步被你们吃了吗？日本做了多少年动漫才这样，中国这才几年，难道非要看喜羊羊才好吗
人物动作僵硬，语言过于苍白无味甚至有些幼稚，深意不够，对不起这个评分。
一看这时长，就知道不是什么好片子，这剧情，台词好幼稚
一部好的题材动漫，需要用心去制作，一味吊胃口，适得其反的，祝百漫成百漫最优！加油，看好你哦
我只能说。废啊。开头歌曲5分钟。片尾4分钟。一个星期就只能出3分钟。能不能在废一点啊。
有没有小姐姐玩王者的，
我的妈呀我不喜欢看动漫的简直被打斗看得热血沸腾，强行安利啊，太好看了，一直都想看中国神话动漫，终于出来了
这个动画也就猴哥有点看头 ，要是没有猴哥我早不追了，更新那么慢，去掉开头和结尾也就10分钟，两集加起来也就20分钟
看国漫真的给我看怕了 没头没尾的 好看是好看 动不动就很久很久不出 要么直接停了
真好看啊！加油！！这是这么久以来武庚纪以外最好看的一部动漫了
看不明白 主角为啥是只狼？
唐三藏穿木屐？编剧脑子不好使吗
画风不错，就是感觉最近几部国漫的人物画的好像，支持国漫，会越来越好
前后就他妈六分钟，中间十分钟不到，唉。。。。。
剧透一下，土地现在能看到就珍惜一下，后面就牺牲了
自己去看漫画吧，瞎bb什么，孙悟空没有死，师徒重返取经之路，人家是创意，硬说成狗屎，权势之间你再厉害有如何，你打的过权吗？
觉得现在国产动画很好看，比起那些外国的好看多了
完全可以两集变成一集！这样会更让我们觉得国漫强大了！很多国漫不是不好看，是短、去了开头结尾有些正片3分钟都没有！这才是很多国漫让喷的原因！或许你们太多苦衷但是如果时长不够，再好看喷的也不是少数！第二集8分钟的正片！有点小失望！加油
西行纪是继魁拔之后又让我为之看到国漫的曙光，将天龙八部和西游记的背景糅合，又经过合理的改编，无论是从画面还是剧本都无不透露着良心制作。
看这个是源于它的漫画，只更了90多章节，但是后面很精彩，让我仿佛看到了西游的另一个故事！希望能够早点看到完美结局！
突然发现魔道祖师真的挺不错挺好看的
虽然说制作很男旦是一星期时间你好歹做多长一点，开始和后面那些，没用的放了五分钟吧那些剪掉不就得了，换成剧情这样肯定很人看，喷子也会减少，剧情也不要那样拖。
没有原画好看，不能不做3D的么？所有伟大的动漫都是2D版，比如火影忍者海贼王圣斗士七龙珠
