支持斗罗大陆拿全国动漫第一的点赞
这歌声好二啊，赞同的点个赞
这个动漫还挺好看的，可惜呀，就是更新得太慢太慢了，我强迫症又犯了😱
太好看了。我喜欢这个动漫。
怎么有点像从前有座剑灵山?
国产动漫最好看 没有之一
每一集都有睿智带节奏，要你们追了？现在的新番一集制作就100万人民币左右。
人之初，性本善。作者不更事大坏蛋你不更我不赞看你以后怎么办？
幻界王让我看出了魁拔的感觉
服装是关键啊 好人就应该穿正派点的衣服 平民居然认不出幻魂师 这跟认不出警察有何区别 👎
难道男主是风天擎儿子？就像火影 那样
蓝若冰不是飓风战魂上的吗咋到这里
国漫好是好看，但是缺点就在于时间太短，感觉在忽悠我们。
觉的女主兰若冰美丽美丽的点赞
这不就是中国版的火影忍者？
魁拔那么好看都没更新了
谁能告诉我有什么好看的动漫啊
都不知道叫魂虎来帮他，魂虎没有能力帮他的吗
我们还是要尊重国漫的，毕竟他们制作也不容易 要多体谅他们
无色是什么色系 很厉害的样子
可不可以一个星期更新两集以上啊😔😔😔😔😔
你们发现没有这是魁拔。男主还长高了！
吗 明白你好吧你快看看吗”吗”吗精华面膜。
这个小说懒人听书上有么或者谁知道哪里有
能不能更新的快一点，一点体验都没有，哎，要不要好评啦
男主角不帅 太笨 太弱
都10.05分还不更新，举报
看完几集就想起了魁拔
我去，这个男主好像长大版的魁拔啊！
等待时间太长，播放时间太短😓😓
主角好像魁拔啊真的真那个
这有点像魁拔，主角又是坏的。
很好吧，感觉感觉棒棒哒
不要一周才更新一集呀，能不能每天更新一集呀
还挺好看的。不过更新有点……
主角太菜了，我都看着火了
国漫是还可以，真心的更新太慢，而且还没的没头没尾的有意思吗？
