哇咔咔总算回归了，终于等到狗哥和白菜啦
不要说十刑没有纣王强。不要看不起人类好吧。主要不死鸟加持，那时候不死鸟修复百年了。最后被打残了！从纣王死到十刑拥有不死鸟，中间的时间也是不死鸟修复的时间，才10年左右吧。根据男主角武庚成长的时间判断。所以说能一样吗
这可是一星期一更，如果是三两天一更倒不想说什么，现在好，就算你不死鸟加强版十刑打不过，也得在剧情里官方解释几句吧？
不会吧他竟然没死，神就是会奴役人类，以为自己高高在上，整天把人类认为最低等的动物，神不就实力强嘛，这样不懂得尊重人灭亡也是迟早的事
恭喜你又让我白等了一周看来不寄刀片是不行了
觉得追日对白菜的感情都胜过武庚。追日与白菜蛮配的。
有谁和我是女孩子在看的点赞
十刑，你复活了，感谢小编(请你吃糖)，十刑清醒过来的就可以开启二次天启了吧，拥有了不死鸟的力量，已经是双生不死的属性了
大结局是武庚打败天和黑暗之主从此人与黑暗人们与神和睦相处
我就想知道武庚的手能复原吗！单手打架不怎么给力
这主角好废物啊，就没一个打的过的
每集时间太短、同意我意见的赞起。
真她妈恶心，一周一集一集十分钟，能不能像别的动漫一样一集二十分钟
近期更新的剧情都好啰嗦，感觉是在糊弄我们粉丝
最惨的主角，没有之一
我喜欢白菜和雷神在一起，因为雷神很帅还专一，五庚不够帅，还喜欢阿兰
别骂了，虽说短短十几分钟，但是你们可曾考虑过，玄幻其他的代表作动漫也要更新，秦时明月，天行九歌，他要为很多很多的
"好短,尼玛的,老子从明天开始用澡盆洗脸了,面子太小了,一点不够用。"
剧透一下 十刑死后灵魂来到冥界 也就是灵魂的去处 然后遇到了不死鸟的灵魂 然后缔结契约 十刑复活了 也找回了以前的记忆变成好人了 力量还变得更大了
哎 主角又残又瞎 估计是世上最惨男主了
天已经被绿了，太浪了那女的
日本动漫人家用心少，每个角色就用笔画画就出来了，全是那种现实的片，而国漫每个导演都是呕心沥血创作的，每个角色都十分细致，比日本的好多了，所以更新慢点，你们别在喷国漫了，他们都很用心，永远支持国漫💙💪💪💪💪💪💪💪
武庚配不上白菜，顶追日
"我也是醉了。剧情还没广告长，真心看不下去了
个人观念，不喜勿喷"
我也是醉了，这个男主角也是够掺的，眼睛没了一只、手也没有一只[晕][晕]
这部动漫成了鸡肋了，食之无味弃之可惜。玄机这是啃老了啊，
白菜最后也变得很厉害，90多级的封号斗罗！
啊啊啊……从追日出现我就喜欢上了那个造型，越往后越是控制不住自己，好帅哦，好酷我爱上他了怎么办，怎么办在线等急
真恶心，国漫更新慢就不说了，一集除去片头片尾曲就几分钟
大祭司预言中的人就是十刑，“一个平凡的人在中土诞生，他走过死亡幽谷回来，与不死鸟并肩作战，最终，令神权瓦解，解放所以的奴隶”十刑才是大Boss，不死的主角光环
权威发布：我简单的评论一下，玄机科技最强国漫，没有之一。
打一次分三集 一集正片四分钟 剩下是回忆 全拿观众当傻子
十刑想死，怎么不去挑战天，可以让他如愿
反正我认为不死鸟不会把自己的力量交到敌人手上，十刑和二叔这对好基友是时候开始双排了！
翅膀张开的那一刻我仿佛看了纣王
有一天，上帝对我说：“孩子，我能实现你的1个愿望，你想要什么？”我说：“能毁地球吗？”上帝说：“孩子，先考虑一下其他的吧！”我说:“那能让武庚记更新快点么？”上帝说：“孩子再考虑一下其他的吧” 孩子又说:我希望没有广告! 上帝无奈的说:我们还是考虑毁灭地球吧!支持的同志赞个！
十刑是天的孩子，那天的老婆是谁
更新太慢了，同意的点赞。请求周更7集
完了，感觉爱上了追日！！
下集白菜展示他的能力冥族空遁术），接下来十邢和阿满（逆天而行）是主角，最后联合联合武庚对抗神族成功的故事了，武庚后面还要挑战幻岛六尊者，抢夺冥族城主，没个几年这速度播不完啊
武庚，父亲能复活吗？就想看看，他父亲霸气男人，
突然开始讨厌玄机公司了，一集就15分钟，前奏，后弦就占了快6分钟，还要一周一集，还看个屁啊……故意拖沓，顶我
白菜还会活过来 将蜕变更厉害 毕竟是女主角光环
其实白菜才是心月葵和天的孩子
挺喜欢十邢的，主要性格很不错符合我的口味，最逗的天的女人竟然敢给他戴帽子
为什么那么短勒！不过周更也是不错了
一个星期几分钟，你嘛呢隔壁的一群饭桶
看到这集 感觉作者会把白菜写死 希望这种不详不会成为现实
我怎么感觉之后武庚会跟阿岚在一起，追日和白菜在一起
有没有人和我一样都在这一刻等着天启的播出呢，点赞看看有几个😁
子羽把最后一点练成了，那也是神一样的存在
第一性无能
白菜是天的女儿吗？ 心月葵说过坏了天的孩子
云中子不是有个会飞的葫芦吗干嘛不把他们一起救了
知足吧，斗破苍穹一个月一集，十年120集，以后可以带着孙子一起看
预告里你们难道没看见太极和心月魁和干什么见不得人的事
白菜忧伤的泪就是天上的雨。她一定不会轻意被写死，她身份定不简单
总感觉没几个人能活，只要接近主角的。这个主角是天煞孤星级的
能不能多更新几集 一个星期才一集 要播到什么时候 2017就开始看的了
动漫太墨迹了，这个动漫，刚开始你不讲回忆，你到后面开始，真没见过这么磨叽的
武庚打得过萧炎吗？？
天是无敌的，曾经一个人把远古神族给灭了，不过最后他选中武庚替他管理人间，他负责监督，因为他明白就算把武庚杀了，还会有下一个武庚，武庚最后是仅次于天的存在
强烈要求一个星期最少两集 ， 有多少人支持我 顶我上去让作者看到
同意追日和白菜在一起，武庚和阿岚在一起的点赞
看了预告，子羽和十邢又要准备打多少集？
如果我的帖子点赞过万，请你们加时间！不加万人弃剧
从23分钟到20分钟再到17分钟再到15分钟.厉害了
大家不要慌，遇到这个剧组！快短小，最好的解决方法就是集体举报！视频右上角可以进行举报！人多力量大，顶我上去，记得动动发财手举报
国产动漫反正就是能挣钱就好，如果能10集挣玩整部剧的70%收益为何还要更新。热度也就前面几十集的样子。后面无所谓啦，又挣钱又省力，不需要任何代表作品，不在乎，挣钱就好，只要有钱，啥名利都无所谓
我我怀疑孔雀怀的是火凤，就武庚的父亲穿的哪件
他们只能说是修炼者，神法力无边，不需要奴役凡人，只要凡人不冒犯就行了，还有身为神就要摒弃一些凡人的杂念，思想要得到升华。而不是空有一身躯壳，所以他们算不上神。😐
我能说，武庚记就是封神记漫画，内容一模一样的..........::.:
纣王的儿子拥有无色界神力，天的儿子却有不死鸟，原始界神力，抱错孩子了吧
不知道有生之年，能不能看到武庚和天决战的一天？
导演这么短区区五厘米你老婆怎么会性福呢？
其实十刑才是武庚的真叔叔：救了他、提升他、鼓励他、保护他……
