第一集呢！第一集呢！第一集呢！第一集呢！
画质不太好啊，还不如漫画版的→_→
第一集是被吃了被吃了被吃了吗？
这穿越穿的太牛逼了开头有点蒙啊！
我的周瑜大人呢，大小乔呢。
那些说基情的傻逼们。你们知道古代有一个词叫知己？
我觉得总体来说剧情还是不错的，但是……曹小瞒太娘了……一看就是受，然鹅我是主攻党:)
我想问问，第一集呢？
还是漫画好。
感动，真心觉得剧情刻画得很深情
一直就非常喜欢三国历史
好看[色][色][色][色][色][色]
在哗哩哗哩软件里面有第一集
随大众随大众吧！但是……
这么好的动漫为什么不更新快点呢？半月一集太慢啦！顶起支持更新快点
本人还是挺讨厌郭嘉的喜欢关羽曹操刘备
我就想问一下到最后到底谁死了 到哪就没了 唉--
咱腐女的福音，[色][色][色][色]
全网都没有第一集
漂亮姐姐已点赞。帅气的哥哥弟弟已点赞。丑的人还在犹豫
怎么没第一集我去这是闹哪样
历史人物最好不要组CP，容易误导青少年
就这么完了？希望有第二季
只想说，小瞒真的变成女的张菲和贾诩的计怎么破？
搞基？？？？？？？？？
怎么看的尴尬，是搞基的节奏吗
为毛没有第一集??????????????
满满的基友情
还有吗？？？
大爱瞒姬！
又一部搞基动漫的。。。现在的国漫越来越多搞基动漫了。。。
好看好看国漫最版了
透露一下，这里每个人的名字都很有含义:郭嘉字奉孝，官至军师祭酒，又称郭祭酒，所以这里的祭酒指的是郭嘉；曹操字孟德，小名阿瞒，又称曹阿瞒，所以这里的小瞒就是指的曹操（至于在现代为什么是女的就不知道了，难道是因为曹操好色吗？）；刘备字玄德，这里的小备就是指的刘备（至于刘备和曹操是亲戚，这就是小编自己突发奇想的了）。很好看！
第一集呢？怎么找不到了
第二季怎么不出来[抓狂][抓狂][抓狂]
找半天没第一集，什么情况
苟，真假，君临臣下。
求歌名，谁知道么？
第一集被谁吃掉了真是气死人了。
啊啊啊啊啊啊啊踏马的郭祭酒太帅了啊！我要娶他啊啊啊啊啊啊啊！
君临臣下 第03集 曹操穿越恋刘备
插曲好听，求歌名“这些年。那些天，似流年”
第一级哪去了？怎么没有？
结局……o(╯□╰)o有点小小的……
大哥曹操是男的
有点变态，我觉得曹操要是看了必定爬起来把作者吃了
两个人都是一样的，都下不去手，内心一样都在挣扎。但是后面不都是一样狠的下心，虽然两人肯定都没有下手。所以说，这世上还是没有真正的朋友。
第一集呢，，，，，，，，，
我觉得这个剧情写的一点也不好 把刘备写的很坏 很心机 人设崩了
跟原著不一样
太好看了吧！
小机机
主公为臣君为天，我逆天改命，只求未来有你。
第一集怎么不见了。。。。。。。
什么时候更新呀☺☺☺
我勒个去，作者你有毒，漫画跟这个有好多不一样！
感觉想像里的黑衣人的眼睛像刘小备的眼睛
不知道有没有第二季啊
虽然是腐女，但是对于把曹操写成伪娘，感觉也太扯了……
