支持一集二十分钟以上的请点赞。
假如是没有经费，你可以搞个活动捐款的，虽然我捐的不多，几块钱，十块钱还是有的，加上别人的就差不多会有钱的，我确实很喜欢看这部动漫
实在话！国漫近两年可以的！知道制作也不容易！但能不能别这这样，你要更新就更新完。别一星期一集真的很吊胃口！一星期一集，说真的说不定哪天我就不追了。心累……给你们时间去制作，只希望别老更一集！
中国的动漫设计者们，你们要么别拍，要么就拍20多分钟一集的！
祝导演的性生活和这片子一样短，同意的点赞
导演丫你短就算了，做的视频能不能坚持5分钟。看看我们观众都比你强，能不能坚持20分钟呢是兄弟就来顶我
不知道为什么最近有些动漫动不动就停更，是不是欲擒故纵什么的就不知道了 ，反正是取关了。没有一点职业素质，如果说像魁拔一样的原因，也就不说什么了，舍也不说就停了，什么呢吗。取关了。拜拜去看日漫了。
喜欢叶雪云和王爷，王爷好帅，雪云也好漂亮
什么鬼这是，看都没看就完了真的是醉了
"其实大家都错了，不是导演不想把内容多做一些，而是漫画作者也刚更新一章，一章就那么几页漫画，漫画作者都没有更新那么多，你让导演那什么内容做？所以大家要理解一下。
一开始我也和大家一样，好烦这么短的内容，没开始一集就结束了。当我看到漫画的时候我就懂了"
导演脑子有问题吗，一集3分钟，破世界吉尼斯纪录吗？
我看了这么多的评论啊，唯一的共同点就是这一集一集的就跟是看电影的预告片一样儿，我真不知道这个动漫是那个气死人不偿命的设计的时长。
播放量减一半吧！！！！
不好好更你的漫画，跑来做动画，闲着没事么，有本事漫画两天一更啊，同意的点赞
叶星云就是7重天，马上8重天的实力，居然这里说这就是7冲天的实力，还确实有狂妄的资本，你在逗我吗？
同样是做动画的，别人一集可以二十分钟，你们那，总共7分钟，开头1分43秒，片尾从六分38秒开始，开头和片尾加起来就是，103＋38＝125秒，等于两分零五秒，7分钟＝420－125＝295秒等于四分55秒，我是一个段视频都比你的动画长，前期的妖神记也一样，除了画风好一点，主角都像是开挂的，危机关头什么人都打得过，一个动画主角就是挂，不苦练，运气好的到哪都可以找到秘籍，打不过就爆发，让后BOSS随便暴走，你们的动画能不能用一点心啊！这样的动画拿出来，你不怕有辱国漫的地位吗？
垃圾动漫，三分钟的垃圾开发团队，三分钟的垃圾剧情
难看死了，都搞不懂是什么剧情从第一集开始就感觉难看
短点也不打紧，可是你倒是一天更新一级啊，不然怎么看嘛，三天不看估计都忘记还有这么一部好看的动画片了
广告两分钟 只看了5分钟 看的还是没用的 可能在再短一些时间
这游戏肯定很垃圾。所以不玩。看动漫这几分钟和剧情节奏就知道。。。跟画江湖之不良人，武庚纪等国漫比，差不是一点点啊
这真的是超短，求加长
女主不遇男主以前家族天才 神勇无敌，遇到男主必定各种落败负伤落荒而逃
一集太短了，还不如日漫一集24分钟呢
其实想想，一周1两集，也有10分钟， 海贼王呢 掐头去尾，回忆乱入，一集值得看的只剩2分钟。这10分钟，已经是超级良心了好吧。
不用在更新了，还没主题曲长呢，还更新个屁啊
国漫 怎么了 时间就七八分钟 算开头和结尾 就只有5分钟 天阿 你不播算了 不要吊人胃口 要做就好好做良心一点
wtefaq 改一下撒一周一集，一集20分钟，同意的送我上去
这尼玛是来骗钱的吗？这么短？
每集都挺精彩的。就是可惜时间太短～估计用心做的，要是能再多看点就好了
平时的剧情还有切换，这集就牛逼了，叶嫣然下场，炎潇中毒，结束。中间不带一点细节。
你这一集7分钟，片头片尾2分钟，5分钟剧情，一个星期两集，这一切的背后到底是道德的沦丧，还是人性的扭曲
一集五分钟不到，四分半是在讲废话，就是为了游戏推广？这也是够醉叻，什么时候才能看个完整囖
"太短了不能做长些
这导演缺根弦"
我想说 有屏蔽功能吗？？？？
一集3分钟 一个星期6分钟 一个月24分钟 一年288分钟。 如果一季播完 估计也要两个月才出下一季 等于1.5小时 我一年后再来看吧。
经过无数次的揣摩与遐想 终于得出2018年度最具影响力的理由 导演患有先天性早泄 咬牙切齿 勉强撑住5分钟
本帅哥掐指一算 :你现在在床上看评论，而且侧身 搞不好还在充电
越来越短了。跳过片头片尾就三分钟。看着都累。
"动漫这么短，心里有怨言很正常。但是说实话我不觉得我们任何一个观众有资格对长短来评头论足。
首先，从评论里来看这家动漫制作公司应该资金有困难，剧集短是现实原因。其次，作为观众，我们一不提供资金，二不参与制作，没立场说时间问题。再次，并不是说不准评，但是要从客观角度考虑，以公司的实际状况，制作出的水准，剧情，人物设定等等方面有一说一。
一味抱怨没什么意义呀，抱怨动漫也不会给你变长。实在觉得不中你找找剪辑拼接版的，一次看过瘾不就好了，既然追了就礼貌追，要弃还瞎＊＊啥"
麻辣戈壁，看不下去了，等了一个星期，结果说几句话又没了，还让人活不？我要生气了👿👿👿
三个老鬼你们讲完没有，俗话说冤冤相报何时了，听我说两句，什么？本集已完，我还没说呢，留着下集再说吧，你们三个老鬼先回去休息三天，下集再打
这tm好像比斗罗大陆还水啊
这部动漫不能有下集预告，因为一旦预告，下一集就看完了😂😂😂
我建议还是在短点，来个1分钟差不多了！你们觉得呢！
国漫确实需要改进，日漫好歹都有二十多分钟，国漫大多都是十几分钟，更新又慢，难道看个动漫真要从小看到老？
""
总共7分钟，头和尾都占了将近3分钟！敢不敢再敷衍点
我们要发动网络的力量，大量传播这部动漫短的不能看，让编辑感到压迫！
这每一集都和预告片一样，片头片尾除掉剩下的只有一点点 希望能改善一下
一级动画7分多点 唱歌靠近2分钟 真搞笑
我支持叶雪云，温柔体贴善良。
不是我说国漫就是特么滴垃圾、更新你准备等多少年、每集基本就2、3分钟、不只是这个我能特么找一大堆这样滴、这不是重点、重点是更新多点、有水分也能弥补、这特么是神马玩意、基本不评论、是再是忍不住丫、国漫就是被你们这种把形象搞废了、一直如此、从为被超越、
还没开始就结束了，时间太短会认人失去对这部动漫的追求，希望时间在半个小时内，如果加时也许会接着看下去不加时只能放弃
导演，希望你的性生活也和这个视频一样短
这集打的真过瘾不过导演还是细短软啊同意的Y(^_^)Y顶起来
又看玩了。。。。。好短啊
有一天，上帝对我说：“孩子，我能实现你的1个愿望，你想要什么？我说：能毁地球吗？上帝说：“孩子，先考虑一下其他的吧！我说:那能让这片跟新快点么？上帝说：孩子，我们还是考虑一下毁灭地球吧！
太短了，国漫是怎么了，越来越短
现在的动漫差一点就是有命看没命等，和我观点一样的老铁点个赞
应该要出第二季，你们信不信，天王盖地虎
真的是和你们JJ一样短！同意的点赞。
国产就这样！就只想知道男主最后和谁在一起了，别的都猜到了
女主千万别是叶嫣然 希望是雪云 要不然弃剧
剧短是因为词穷，作者肚子里没有粉末！俩三集的东西硬拆成40集，要不这个动漫就只能昙花一现
一集7分钟内容，30集210分钟除以60等于5小时，5小时的内容分30集等于30个星期乘以7等于210天。（5小时候的内容210天播完，那么请问:到底是他们累呢还是各位看官累呢）
导演肯定短恩，7mm
妈的没等看爽呢没了，去了去了广告就他妈几分钟，同意的兄弟顶我让作者看看，咱能长点？
好看是好看，就是每次还没看过瘾就没了，建议每一集攒多一点再播放，别吊人胃口
万界仙踪真好看，掐头去尾三分半😂
一分钟广告，两分钟片头，两分钟片尾，总共七分钟，也是醉了
这动画看的有点尴尬，人物模型，以及斗打方式，感觉怪怪的，不像太乙仙魔录，和斗破苍穹，总感觉人物没生气，像木头，打斗也是木偶
导演你知道为啥中国漫画和日本漫画差距那么大么，人家是实实在在搞艺术，而你只是为了混日子
导演真会挖坑啊，几分钟的时长，拖到四十集，最后一集还突然来个“基友情”，呵呵，猜不透，猜不透，国漫果然无法预料，只能期待以后的第二季了( •̥́ ˍ •̀ू )，希望导演开工的时候别如此的几分种就结束😁。
你不更新，我就会伤心，我一伤心，就不想读书，我不想读书，老师就会生气，老师一生气，就不想教书，一不想教书，国家就会落后，国家落后了，其他国家就会攻打我们，其他国家一攻打我们，必定会使用核弹武器，一使用核弹武器，火山就会爆发，火山一爆发，世界就会毁灭，而导致世界毁灭的原因，就是你不更新。所以为了国家的和平也为了我自己，请你早点更新
叶雪云也是女主，这剧双女主。雪云最漂亮。
怎么还没更新啊，一集看点不到10分钟，多更新一点呀。顶我
什么鬼，做的能不能时间长一点，总七分钟加上前序两分半钟，也就剩是3分钟了，看都没看就完了什么鬼嘛。
还不如去看迷域行者，每集都接近30分钟，那才是国漫的崛起
刚开始说穷，大家支持。现在，已经是第几部动画了？！还特么这么短小，而且还不以为耻，反以为荣，你该醒醒了！
3D动漫太难做，我大学同学已经转行了，能拿国家励志奖学金的优秀学生，熬夜加班完成一个狗的模型还需要二十多个小时，而且我感觉还不是那么好看，而像这样的动漫就算时间短我觉得也已经很棒很不容易了
可以这么说。魔道祖师才更新两集。好评。一点比你更新30多集的有看点。为什么评分会比你高?希望导演好好反思反思
一集7分钟，前后唱歌占用4分钟，剩下3分钟，27集半小时看完了
