有谁跟我一样是看了漫画再来看动漫的吗？
帝王侧是我好久好久就开始追的漫画了，那时候还没有游戏版的和动态版的，现在出了这两版，我还是照样追，不添加任何添加剂的有机限量纯粉儿一枚喔，（感动哭了T﹏T）
哇哇来动漫了原著粉来了
"我就想知道作者怎么把瑾禹插进去的……
明明感情那么好了… 都要登基了"
"明月！明月！一心照明月！
太子和异人才是王道！女主…看不见啊！"
怎么和瑾瑜在一起了不是和修烨在一起的吗
说实话这是我看的第一部漫画
如果是真人版，会更好吧😊，好希望是
再等三话太子就登基啦，不要日盼夜盼婚后番外，素儿和修烨快大婚啦！
毁漫画 配音真的一言难尽。。。
剧情很有意思，喜欢这种漫画风格不一样啊加油加油会一直追的哈
我才知道帝王侧出动漫，不过通灵妃什么时候出动漫想看。
你们觉得很好看吗，我觉得很搞笑
配音挺好的，可惜画风很糟，浪费了工作时间
女主声音真不好听，和想象中的不一样
好吧，emmmm.........我终于知道游戏里开头那句“如果当初没救你就好了”出自何事了
我喜欢你❤❤❤❤❤❤❤
最近国漫太少了，我都快看完了。能价绍几个吗？😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
我想说的是这比通灵妃的动态漫画更好看一些。
漫画也好看的，就因为漫画才喜欢动漫
皇帝跟素儿好好的 为什么要冒出个四皇子？？？
如果能拍成电视剧该多好啊[爱心]
一直在QQ玩帝王侧的举下手
几天更新一集呀？也没标明啊！
"原来红袖是山新～
山新配素儿就好了"
男声不错，女声有点粗。。
看漫画过来的………………
我玩过这个游戏才来看的😁
看漫画女主处处都是淑女，这声音，我我我真心感觉不到啊，
目前的剧情有点……，是配音和画风支持着我继续看下去。
沙发啊哈哈，不够看☹️
顶顶顶，看我的自制手办
敢动我的人，不管是谁，吾必诛之，修烨好霸气
喜欢瑾瑜、出场机会太少
从漫画过来的举爪，嘿嘿
原来觉得漫画就很不错，没想到都出动态的漫画诶……超级赞，没说的，没说的超赞
今天突然发现有动画了 炒鸡激动！！！
好期待啊，，，漫画看完了一直期待有没有动漫的。。要是拍成电视剧了我一定去看
表白明月，艾玛声音撩死我了😍
怎么有点喜欢这个二皇子😂
这个时间上还算长，不像《我在皇宫当巨巨》
我去这也太短吧 一集就几分钟
兄弟妻不可欺，不喜欢太子拆散素儿和瑾俞
男主声音特别好听 大爱
明明我该站女主，但是完完全全被太子哥哥圈粉了好心疼。
我记得帝王侧手游，4个情缘，素儿和瑾瑜成亲了，结局过上了幸福生活……
很好看，就是剧情太少，明月的歌唱的也很好，问下，多久更新？
什么时候拍个真人版看看
男生的声音好好听，和角色很衬
和漫画并无区别，然后我觉得素儿的配音不适合她的人设
我记得第一话是有床戏的，好像作动漫的时候剪了
确实短了些，感觉有些小剧情被剪了。♥但非常喜欢呢！
我很喜欢皇上他太帅了😍😍😍😘
还挺好的吧！不过素儿的声音不好听
超喜欢，动漫，漫画都要快更，加油!如果能拍成真人电视剧就好了！
帝王测试一个漫画大家可以去看一看。
素儿是喜欢谨瑜吗？我以为她是喜欢修烨来着
更新太慢了。还是很喜欢帝王侧的。
玩过这个游戏 不过很虐吗 结局怎么样啊？
不知你何时才更新，我的日子该如何？
好喜欢，我要持续关注，快点更新啊
国漫越来越好看了！超级超级好看(●◡●)ﾉ
明明和太子暧昧的，为什么后来和会和什么锦瑜搞一起啊
希望《皇帝的独生女》也能拍成动漫
