啥时候看到第二季啊。
难怪那么熟悉，原来是地下城与勇士
好好看的，大家都看吧我都看了2遍了。
这个女主怎么这么像降灵妃的女主画玖呢？
"那一年，有一本书叫斗罗大陆
那一年，有一个人叫唐三
有一种保护叫终生
有一种爱叫跨越天地"
很好看，我喜欢男主
第二季什么时候出啊！都等那么久了
天才好帅你们说是吧！老铁门
我已无钱守护阿拉德
挖槽你些娘，你这是拍的啥？啊？真恶心！编剧你吃了屎了吗？
DNF这么好的题材 却画出这么不堪入目的动画 唉可惜
许愿启明星 万世荣光战鞋
人物表情有问题，画面有点假
大家知道斗破苍穹为啥更新那么慢吗？给个回答
这剧情满分100我给1分多给99怕你骄傲
还是韩服的好看&#039;奶爸说话很有磁性
续集续集续集续集续集续集
光九重天噢hho公分规矩不成方圆
它是模仿地下城勇士的人物画的
第二部谁知道叫什么来着
什么时候更新啊？等了好久啦。
有点弱智，还不如日版的！！
剧情稀烂无力吐槽 少于十字还不乐意了
魔道登场……………………
戒魔人，怎么回事啊，，
""
真心希望第二部各个角色都能带上他们的技能
好像戒魔人。。。。。
66666666
跟地下城勇者一模一样
17的破武士刀，还有谁
和《全职高手》比，差远了。
第二部什么时候出来阿
为什么都要有女主有什么好的很碍眼
怎么完了，是植物大战僵尸的倍音
哎！我等好久了，都没第二级吗？
有些人不看滚没必要在这bb
他妈的，满满的回忆，但是赛利亚，我真的没钱了，不要纠缠我了！！！！！！寻找下一个人吧
快出第二季啊，快点快点。
好看吗
好像夜叉是GBL教那里的。
每次你们就才更新一集！让我等的好辛苦呀！
这个应该是和日本合作做的
"那一年，有本书叫斗破苍穹
那一年，有个人叫萧炎
那一年，有一个词语叫恐怖如斯
那一年，有种爱叫执着，一路风雨一路艰辛。
那一年，斗破，我们同在。
喜欢上萧炎的一句“三十年河东、三十年河西、莫欺少年穷”，
喜欢上萧炎对敌时淡然一句“即然来了，那便留下来点什么吧”
喜欢上薰儿的一句“他若伤了，冰河谷，便没了”
喜欢上小医仙那嘴角的浅浅一笑的清纯动人。
喜欢上云韵那雍容高贵的风姿，清冷中带点冷傲的身影。
喜欢上美杜莎女王的那句，“你的命，是本王的”
喜欢上彩鳞她生下萧潇后冷漠外表融化出的滴滴母爱与带着些许倔强的柔顺。
喜欢上紫研的调皮贪吃和古灵精怪
喜欢上药老的如师如父的长者风范
更喜欢那句经典用语，恐怖如斯！
那一年，药老的出现使那陨落的天才改变了命运
那一年，斗之气五段是天才
那一年，练药师是多麽风毛麟角的存在
那一年，他还在用八极崩
那一年，斗者受人尊敬，斗王可以称霸，斗皇还是传说
那一年，少年从天才走向废物面对多少冷淡和嘲讽
那一年，“莫欺少年穷”点然多少迷茫少年的心
那一年，药尘说，放心把，就算没有焚决，我也会把你培养成这个大陆的强者
那一年，吞噬异火差点要人命
那一年，少年重逢纳兰嫣然
那一年，热血男儿，背负重剑，豪气冲天，独上云岚宗
那一年，少年从迦南回来，望着噙着些许雾气的雅妃轻叹一声辛苦了，让多少女人觉得有了这一句，再多苦也值得
那一年，云岚山上少年一句，萧炎回来讨债了，凝聚多少容忍与辛酸
那一年，海波东不顾家族的威胁与压力依然帮助少年，让多少人觉得朋友是如此可贵
那一年，少年中了魔斑，彩鳞说，若古河不能帮你，我便带你去大陆之上寻找能治疗你的人
那一年，废物身旁总有温婉的女孩对他说，熏儿等你
那一年，少年的对手永远无比邪恶，桀桀的笑
那一年，看着少年成长并有了可爱孩子
那一年，我真的以为一个足够值得尊重的对手是一个强者必须的
那一年，曾经的雏儿，终于成长为大陆的最强者。
那是热血，是传奇，是不朽。
然，天蚕土豆，诚之一字，人之根本！当年魔兽剑圣之时，你的努力拼搏真的被利益消磨了吗？
斗破苍穹把你推至顶峰你就变成这样了吗？"
"到底还有没有第二部啊？
我都等了这么久了"
什么时候更新啊！都1年半了
我是来怀旧的，一样的顶起
