很赞，细节很美妙。比斗罗大陆的画质都要好。亲爱的我决定追你了
画质特别好，剧情也不错😂
我觉得迟早有一天你的播放量会破亿的！
女主是拿枪的那个，想问你们信不信
从新做吧 怎么搞的。 等一个星期就这样？
那个警察一点都不像好人，真虚伪，偷东西都想杀人。最重要的别人偷东西还是帮助别人
国漫制作剪辑不容易，多点包容吧！再说卡成这样你不也看完了吗，说明人家故事情节画面还是挺抓住人心的。国漫加油！
这么少人的，制作公司没宣传的吧？
画质这么好的国漫怎么评分这么低呢？ 支持国漫！！！
求求你们收费吧，我怕会停更…
人物这么美，都没人看，去看哪些傻必动漫，为什么没有人看想不通啊，跟以前少年锦衣卫一样，宣传是多么重要的东西啊
真的是看过的动画中最好的了，就是看的人也太少了吧！😂
渡梦使太萌了，好想抱回家
这么好看的动漫怎么评分和知名度不太高呀，大家顶上去
看到中间，卡的举个手
这特么驴唇不对马嘴的，一卡一卡的你特么长心了吗，怎么制作的
顶，希望崛起，非常好，很细腻
为了我老师来看的 做得已经很好了 只有接触到才知道有多么的不容易 国产动漫在慢慢兴起，加油加油加油！
我记得西山居好像是做游戏的吧，这画风贼6啊
头一次看见有跟游戏宣传片一样画质的动漫，好看的一批
女主好漂亮，辣子好可爱，么么哒
"无论剧情，画质，人物动作，都很赞。
一集的时间也很厚道，赞。"
很好的动漫就怕不火，就不更新了。。
这个男主比 斗魂卫 我的逆天神器 男主好多了
居然才2.3万播放量！这动漫可惜了！
真的很好看，良心国漫，希望能一直出啊，全力支持
做游戏之后做动画，满足一切幻想，最重要的是人物的辨识度，服饰精美，纹理清晰可见，大爱西山居出品。
全部都卡了我说的对不对
画质 剧情 各方面都不错 我喜欢😍给制作团队点个赞 你们幸苦了
和《斗罗大陆》一样好看了。多推广啊！为什么点击率那么少。
希望换个封面，因为这个大多数人都不会点进来
这里面女角色都好漂亮啊😍😍😍😍😍😍😍
真搞不懂 怎么会设计这样的主角不是说你们 一开场主角就让人恶心
好看，什么时候出第二季
配音没弄好啊，怎么搞的
卡了，什么鬼导演组给我个解释
一定要火啊。。。。。
我就直说了我是奔女角色来的
一句话，人物真的很漂亮
竟然没宣传！好动漫就应该宣传嘛！难道没资金宣传？🙄
很好看，不错的国漫，为中国加油
满分！西山居用脚做游戏，用心做动漫
确实感觉不错 就是我之前都不知道有这个动漫 要不是别人推荐 就错过了 感觉至少要能在动漫框里出现啊 （搜索才找到的）
可能是因为封面不是很好看，所以 有 些 人 不想 得 进 来
梦塔邀约
画质都挺好的，故事情节也还可以！！不火就是因为被猪脚拖累的。。
唉，宣传不够啊，可以画质了，只能看大家的了
没事 很快就会被动漫荒的人找到 😂
看了6集就我一个看不懂吗
这么好看就是没人呢都太没品味了
要不是没事乱翻，还真错过这么好的动漫
之前都没听说过，还不错
我能说句骂人的话吗，我还以为我手机坏了，搞了半天，才知道原来是视屏的原因😓😓😓
很好的国漫，比外国的好看多了最喜欢两个老猫精了
好看，不知道小冲的CP是谁？
好动漫，制作的很走心，没有更新的具体时间吗？支持，画风感觉很不错！
画质简直不要太好，萝莉简直不要太萌
很好的国漫，加油！
这集演的啥呀！除了跑就是求饶，好不容易有点精彩的，结束了？玩呢？
不错不错，没让我失望，
都第七集了，表示演的很混乱，看不太懂
特效棒棒哒，人物美美哒
女主是谁？？？？？？？？？？
画质特效不错，更新太慢了，继续努力加油
此剧应火🔥不能让他跟魁拔一样沉了
十分二十九秒我好像看到了什么不都了的东西😍😍😍😍😍
如果斗罗大陆，好看一点的动漫，肯定没那么容易结局的，😏😏😏如果容易就结局了，电视台早就关门了，现在都没什么好看的动漫。😂😂
绝对的良心动漫，比玄机强太多了，可以和一人之下并列第一了
