不希望你表白成功哈，还是希望你们男男在一起哈哈哈哈哈哈哈哈哈哈哈哈……
希望项楠和学长在一起，学长害羞的样子也超萌的~^O^~
卡哇伊(˶‾᷄ ⁻̫ ‾᷅˵)
全程姨母笑，吗耶，太好看了，话说，第一集呢
怎么没了😭才刚撩起我的心呢
太和我口味了，哎呀，我和女主是一类人，嘻嘻
"是男男的吗？😝😝😝😝
是吗？是吗？是吗？
重要的事情说三遍。"
第一集呢？表示懵逼！！😰😰😰
谁能告诉我第一集去那了？
第一集被作者吃了😏😏😏
怎么停了啊，●^●为什么停了啊
哈哈学长害羞了，感觉超喜欢这种攻
入腐已深，无法自拔。
我家电视都有6集了。。。。。这怎么才3而且都没有1。。。。
第一集呢？？？？？？？？
什么时候更新？是按时更新的吗？求解达答
好看好看，这个什么时候更新啊？
这就完了结尾什么情况？
什么时候更新哦 又不会停止了吧
赤裸裸的腐剧，但制作组的求生欲太强，so……（个人觉得，勿喷）
小男孩好单纯😂😂😂😂😂😂😂
项楠看着像女孩子一样
超喜欢，希望可以更快点
动漫比漫画删减了好多😂😂但是很也很好看。
不想要女主。。。。。。
这难道不是个约gay软件？？？
瓦特我的第一节了？？？
🐶🐳🍀🌙🌙🐟🍁🌵⛳🎡📼♨🀄📺🎫🚻🏨🚚🎫🏥🏪🚙😘😂😞🌂👕👑💄👐👫💢💢💨👘💜👋👏😢😢💢🍀🐟🍁💐☀🐯🐳🐴🐟🍁🚒🏨💈⛽🏦🚌🎷⛳🍸💡🎿🏀📷⚽🀄📺📻🚤🔈🔈🍎🎎🍱🍎🍊🚑🏨🚓🚑
一入腐门深似海，没救了
这是一个漫画，好像被人举报了
超喜欢男主和夏新阳哇啊啊啊快更快更！！！
第一集哪里去了😲 😲😲😲
第一集呢，谁吃了吐出来？
喜欢看这个动画的是不是都是女生
这是五个人一起的意思吗？
作死的为什么没有第一集！
原来如此，就说吗刚开始看的时侯画风不对
小雏南稳妥妥的受，四大男神是攻
😂😂😂😂你这画面跳太快了，我直接看成了，老师离世。
啊啊啊啊啊啊，把持不住老夫的腐败心了😍😍😍😍
😍😍😍😍😍😍😍(口水)，太鸡冻了！
第一集没有啊，我手机的问题??!
