做个调查，你们希望谁和封夕修成正果？苏九儿还是郭双？？
其实对于我也这个死忠粉来说 虽然刚开始看评论觉得这集应该没什么看点应该很无趣的 但是都追了那么久了还是抱着期待的心理看了这集 希望能有什么发现吧 看过以后吧 其实没有想的那么糟啦 有时候看看动漫背后的故事也不错呢 也挺意外哒 刚开始是说的封夕和苏九儿前某世的事情 主要还是说苏九儿的不易 以前对他们的前几世很懵逼现在放一点这样的情节也不错呢 既然喜欢这样的动漫肯定是需要一点坚持的啦 反正迟早会更新完的嘛 动不动就爆粗口的话 真的很对不起这部动漫了 背后有那么多人在没日没夜的把情节完善想做的更好可是你们真的不懂得体谅吗 喜欢动漫就难道是像你们这样无论剧情放的好不好都吐槽？？无论动漫再怎么好你们始终会有理由喷 如果这就是你们喜欢动漫的态度的话 那这部动漫你们不喜欢看没精神看那就别看了反正也不少你们这些人 😊 我喜欢看就好
希望这一季封夕能跟苏九儿在一起
怎么是从第二集开始的
这第二季的第一集是被吃了吧。
我还是更喜欢封夕和九儿在一起，毕竟他们两个才是主角
我只想说一句，第三季你打算那年出(๑ó﹏ò๑)
不管是哪一世，封夕都是姐弟恋啊
第三季什么时候出？啊啊啊啊啊啊
更新快点好吗？我要看下一个
我要举报封夕脚踩四只船
这一季比上一季做的好诶。看来国产动漫这几年进步还是看得出来的
三元头发跟第一部不一样啊，感觉除了郭双的配音没变其他都变了
为什么还不更新，都等了一年多了
第三季什么时候出 好想好想看 很期待
哇，看什么动漫都有骂男主，说男主费的，我就不懂了，到底是什么样的角色才符合你们心目中的形象啊
九尾狐妖、虚空之泪这个盗版漫画
还想看去看漫画多的很第三季都有
二次元们推荐几部好看的动漫呗
什么时候第三季呀。我等的花都谢了。
