每集3分48秒，全集6集。哇。。史无前例的大巨作😱😱
这是动漫还是漫画？从头到尾只有嘴巴动，其他都是画面在动
这才叫动漫，会动的漫画。
几分钟的动画还要一个星期更新一集，玩我的噶！
中国第一旷世大作终于完了！容我说一句；它的剧情长度超越了所有动漫的(预告片)真乃旷世之作啊！奇迹啊！
名字好听画封很差没有到漫的真实感搞的好像就是漫画书加了点声音
在哪里可以看漫画，有人知道吗
"怎么没看见作者，人呢，不要让我知道你，
不然吐槽死你"
我泡面都还没开始泡就已经没了。 这电视做的让人看不起的样子可以。
这不是斗破苍穹的，改版
一集也就3分钟，我也是醉了，还要等一个礼拜，别发了，伤不起
你不更新，我就会伤心，我一伤心，就不想读书，我不想读书，老师就会生气，老师一生气，就不想教书，一不想教书，国家就会落后，国家落后了，其他国家就会攻打我们，其他国家一攻打我们，必定会使用核弹武器，一使用核弹武器，火山就会爆发，火山一爆发，世界就会毁灭，而导致世界毁灭的原因，就是你不更新！[/鄙视] 觉得说的好的点个赞
无语 就是个漫画吗 还动漫呢
呵呵，不错哦！就是时间短了点，剧情也挺好。点赞哦！
我觉得应该把动画，动漫，动态漫画分请楚了再说。
我去，这和斗破苍穹的情节是一样的？可这画面也太不敢恭维了…
""
强烈要求加时，太短了起码10分钟呀，不过挺好看的哈哈……
都特么仿照斗破苍穹有意思吗？也就知道改改物品和人物
剧情像斗破苍穹。。。
这么多人说你短我就不多说了，但是你这样没头没尾，跳越这么快，6集没有一集剧情窜的起来的真的好吗
这动漫，我已经无言以对了，老太太都不扶，就服这画质
呃……漫画？还是动漫？
画面太差，内容太少！
全集六一集四分钟一共24分钟？这是一部动漫还是一集啊
不好意思，斗破苍穹什么时候出第三季啊？
作者肯定是秒男，一集3分钟靠
一集几分钟，而且只有6集，认真的？开玩笑吧！但我支持这部动漫，很好看，希望会有下一季。支持我的，把我顶上去！！！
MD，你干脆不要播了，这么短
内容可以，画质不行，希望改进
玛德，跟斗破苍穹一样的剧情，严重鄙视
简单，粗暴。我喜欢。6666
我的第一反应也是与斗破苍穹差不多😂😂
那你们就不要看滚，嘴就不能放干净一点吗
全六集，大佬们别急，还能看两集就全剧终了。
这是来搞笑的把！剧情太简单的，时间也短。国产就是这么搞笑。没前途。
你们丢人吗 4分钟都出来了 骂的你让我们看的什么
山寨版斗破苍穹，山寨得也太粗糙了。
感觉最后在一起了 嘿嘿大胸妹
时间怎么越来越少啦主编是不是有问题了
小说快进版！省了不知多少节
跟斗破苍穹剧情太像了！
这是什么鬼啊！这不跟看漫画有什么区别
这不是斗破苍穹的剧情吗
感觉斗破得盗版。。。。
有好看的动漫吗？推荐几部！
我就想问一问大家，是不是看得牛头不对马嘴。不是一级接着一级吗，这什么情况？
还是模仿斗破苍芎的，真服了
斗破苍弯改版的。你们可真会盗版。
这是动漫吗，还有更短的吗，干脆叫预告吧
原本以为7分钟是最高纪录，现在感觉我错了！你打破了我的世界观。
怎么感觉跟斗破苍穹有百分之50一个意思？
牛逼，真牛逼 三周更新一集 一集只有三分钟你们咋不上天？
好看，就是太少了，更新又慢
导演时间太短了，还没看够
更新太慢了，而且才四分钟
作者第二季可以加长一点吗，最好20分钟
和作者的那啥一样长😄😄
三分钟太短了，能不能再长一点？😒️
什么漫画！还不如说是听书！
刚刚吐槽完万界仙宗，在吐槽你们，我想说国产动漫有你们这样的泥失流，国产动漫活不久已……
好短啊噜啦啦噜啦啦了
那个2比发出来的，动态漫画😡😡😡😡😡😡😡😡😡😡
一集四分钟？下一代可能都看不到结尾，国产动漫就不能长点心啊？
我只想问女主是谁啊啊啊啊啊？
就这么一点点，要人怎么看
才三分钟太少了，什么时才有十多分钟
貌似，这应该是动态漫画吧……而且好短啊，不够看啊
我觉得挺好看呢为什么有些人说不好看呢
这部电影我还不到，看1分钟就就没有了。
现在流行动态漫了，真的是不能理解啊
恭喜你们成为史上最短动漫！
