还有客串演员啊。有看头。就是太短了。能否长点？姐喜欢长点的。嘿嘿
侠岚已经不是侠岚了 只要是稍微用心一点的朋友就可以看出 先是这部侠岚里打都的场景 不再是以前精神上的 而是身体上和武器上的 然后是原先破阵统领集不到八颗神坠之力与穷奇同归于尽 而这里混沌还没完解除封印就可以完虐拥有八颗神坠的统领 侠岚已经变了
若森，你再拖，从7月13日拖到八月3日，呵呵，再拖7天8月10日又撞上爱情公寓，你干脆别出了，吊胃口
侠岚一点都不好看！ 画江湖看到现在最难看的就是侠岚 ，唉 一点都不好看
假叶肯定附体裴左了，就跟当初假叶附体墨怡一样
山鬼谣太极侠岚里最厉害的一个
估计辗迟最后一集出来，同感的点赞！
不得不说侠岚们变笨了……很多事情都要靠别人，以前一个人打败穷奇分身的弋痕夕，领悟五感皆空的山鬼谣……都不见了……希望导演能花多点心思在细节和剧情上，不要让六年的侠岚感情毁在这里……（虽然用毁有点……）
从高三第一集开始一直到现在，都25岁了，还没完事儿。现在更新的越来越水，有时候真的想不追了。现在只不过是为了这里面的坚持而在每周五下午刷剧情而已！哎……
我就想问问不良人什么时候更新，别特么专搞烂尾！
我也是第一部追的那会我还是小学生手机那会还不普遍，在电视机上看的好像是动画漫工场那个栏目
等了一个星期，就为了看这十分钟。我勒了个去，国漫到底怎么了
真是的，以前侠岚的前六季是真的经典，我不知道重温了多少遍....可现在呢，剧组是换了还是掉钱眼里了，还我墨姐姐，还我弋衡溪，，不止是人物的脸被改了，还有剧情也没有以前的经典了。侠岚第六季时，辗迟他们与三魂大战时的战术策略的精明，现在真的是一点也看不到了，全是废话，连动作都很少。还有一点就是，人物技能的释放。以前侠岚打架是靠招数的，现在怎么，还多了个武器?招数中变化最大的就是风巽千叶降龙了，它本来是远程攻击，而且准备时间较长，攻击力是所有侠岚术中最强的，攻击范围也蛮广的，现在是全都反了....
学学 魔道祖师 一集30多分钟 跟看一集电视剧似的。你们这个可倒好。 知道你们不容易 但也太下不为例了
哎。更新这么慢。姐本来又单身。叫我怎么过？
有谁跟我一样喜欢“第五”吗？
好想养只混沌[呲牙][呲牙]太可爱了
山鬼遥前面一季都成无极侠岚了，这一季又变太极了，真是够弱化的
我觉得相比其他六集 画江湖之侠岚即使画风很好，但是忽略了最重要的一点，这是武侠，请问打斗场面呢？每次一到打斗的时候，总是一个画面就拉过，剩下的就是他们趴在地上的惨状。可能是因为要做电影的缘故所以若森没有太多时间，这可以体谅，但是这画江湖之侠岚却没有了热血沸腾的感觉。主题曲那么热血，内容却只是在拼剧情。虽然现在已经改不了了，但是希望若森能够越做越好。加油！ ！
一巴掌拍地下去哈哈哈笑死了。
只有我觉得弋痕夕没有失忆？只是在做卧底
这次23分半，算若森还有点良心
"作为一个侠岚的骨灰粉，我还是忍不住想要吐槽一下。
你确定画江湖之侠岚的导演还是跟以前的一模一样？前六季很好看，剧情也不错，但现在，，，，，
不管怎么样，还是要肯定一下这部动漫。总的来说，还是不错的。😊😊"
换世门生最后一集40分钟，我竟然天真的以为以后都是40分钟……
喜欢第五大人，还有，那个混沌是来搞笑的吧
辗迟又失忆了，什么时候才能恢复记忆
侠岚意味着守护，我很喜欢这群为了守护正义而战的人，第一次看侠岚是在2014年5年了一直都在期待，我所看到的不仅是成长，还有回忆与感动，让我们一起见证大电影的成功！
画江湖系列就是垃圾 从杯莫停到换世门生这两部好看的作品 到了精彩部分就不更新了？真的是吊胃口 现在倒好还出来个侠岚？有心出新的作品 心真大 是不是又得到了精彩部分就又停更 又要出新作品？ 在这里我只想说 国漫就是垃圾
我觉得这部剧可以停止更新了。不要同时毁了两部剧，同意的老铁顶上去。
画江湖侠岚是中国最垃圾的动漫之一，能做出这么垃圾的动漫也只有中国了
魔道千万别改成兄弟情
侠岚就侠岚，关画江湖屁事
辗迟终于出现了，我一个80后，追动漫追了这些年，是不是有点可笑
辰月的耳环还是弋痕夕老师送的，扎心
我现在最后悔的事就是小时候追了侠岚。
"光头的辗迟有点丑
意料之外
感觉光头丑的点赞"
画江湖是不是不行啊！今年一部优秀的动漫都没有。全靠卖情怀吃老本。看看人家玄机好不好！武庚纪，斗罗大陆，天行九歌哪一部不是完爆你
一点儿都不虐单身狗，果然导演都是单身狗😜
辰月没以前好看了 都不一样了
幸好我月不是卧底，卧底是游刃
“小哥哥” 李星云 画江湖不良人才是经典
山鬼谣好性感😍好想上他
哈哈哈 混沌 好好玩 是这个动漫的笑点吧！小朋友哭了 还找解释 牛皮pls
辗迟的声音没有原来那个好听！不习惯
是不是谈恋爱了？？？
不错不错，画质人物都很好，喜欢
这两个有点像。
陌名是辗迟 丑妹是穷奇 第五是辰月
我糙 刚刚看侠岚第六季发现辗迟师傅其实早有伏笔
辗迟体内不是有那个珠子吗！就是储存零力的地方，怎么还把零力用光了？
有没有希望他出场的
延迟上线是为了不和别的同期电影争锋（例如我不是药神）如果上映肯定排的场次就少，但点映已经上线了，有些影院已经可以看了（注:虽然这是3D电影但这是动漫3D，去影院就不要问为啥没有3D眼镜了，今天遇见好多这类人）
看画江湖3年了，现在的画江湖真心让人失望，以前是喜欢过画江湖，今天正式告别画江湖吧！确实没有让我留下去的意义了
四大凶兽排名：饕餮，混沌，穹奇，梼杌
人物变丑了，难看，差评
终于看见辰月了哈哈哈哈哈哈
看到魔道祖师来的！我们蓝二哥最帅！
这集真是垃圾，这已经是人性的扭曲了，为了自救牺牲别人。这种人还原谅，说一堆废话，救你情分，不救你是本分。
这一季真的够了，尤其这几集，动不动卖侠岚情怀。侠岚之名意味着守护没错，但是张口就来的守护丢掉的是岚粉们对侠岚们务实态度的一种认知，侠岚们需要用实力用时间用努力去证明自己所要守护的东西，相信不远的将来，玖宫岭众侠岚都可以凭借自己的实力守护世间一切。。。
快点更新吧。希望一个星期更新3、4集。如果同意的话请点赞。
完全看不下去了，弃坑了
由此可见辰月喜欢辗迟
感觉在第五心境里的那个女声音是辰月，不然为何第五会流眼泪
